orig.ident	nCount_RNA	nFeature_RNA	plate	Cell_type	Age	Age_Cell_type	pool	Pool_Cell_type	percent.mt	percent.ERCC
X2020_246s_D18_S330_L002_R1_001.2020_246s_D18_S330_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	26106	3847	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	5.89136596950893	0.36007048188156
X2020_246s_D19_S338_L002_R1_001.2020_246s_D19_S338_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	16554	2613	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	4.22254440014498	0.199347589706415
X2020_246s_D20_S346_L002_R1_001.2020_246s_D20_S346_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	23508	3118	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	4.93023651522886	0.297770971584142
X2020_246s_D23_S370_L002_R1_001.2020_246s_D23_S370_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	8961	1917	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	3.98393036491463	0.223189376185694
X2020_246s_D24_S378_L002_R1_001.2020_246s_D24_S378_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	217433	6845	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	2.67668661150791	0.0965814756729659
X2020_246s_E1_S3_L002_R1_001.2020_246s_E1_S3_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	2541	844	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	1.6922471467926	0.118063754427391
X2020_246s_E2_S11_L002_R1_001.2020_246s_E2_S11_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	6485	1883	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	2.49807247494217	0.123361603700848
X2020_246s_E5_S35_L002_R1_001.2020_246s_E5_S35_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	108126	4363	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	1.85709265116623	0.116530714166805
X2020_246s_E6_S43_L002_R1_001.2020_246s_E6_S43_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	101288	5330	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	2.37244293499724	0.0375167838243425
X2020_246s_E7_S51_L002_R1_001.2020_246s_E7_S51_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	38413	2939	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	2.36898966495718	0.0963215578059511
X2020_246s_E8_S59_L002_R1_001.2020_246s_E8_S59_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	13105	2411	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	2.26631056848531	0.167874856924838
X2020_246s_E11_S83_L002_R1_001.2020_246s_E11_S83_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	18952	2907	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	3.32946390882229	0.311312790206838
X2020_246s_E12_S91_L002_R1_001.2020_246s_E12_S91_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	45310	5239	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	4.94813506952108	0.123593025822114
X2020_246s_E13_S99_L002_R1_001.2020_246s_E13_S99_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	4373	1281	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	4.75646009604391	0.182940772924766
X2020_246s_E14_S107_L002_R1_001.2020_246s_E14_S107_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	34288	4100	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	4.59052729818012	0.0758282781147923
X2020_246s_E17_S131_L002_R1_001.2020_246s_E17_S131_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	25070	3731	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	6.24252094136418	0.191463901076984
X2020_246s_E18_S139_L002_R1_001.2020_246s_E18_S139_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	45232	5338	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	4.52113547930669	0.01326494517156
X2020_246s_E19_S147_L002_R1_001.2020_246s_E19_S147_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	3772	1049	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	3.87062566277837	0.291622481442206
X2020_246s_E20_S155_L002_R1_001.2020_246s_E20_S155_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	17906	3068	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	4.08801519043896	0.201049927398637
X2020_246s_E23_S179_L002_R1_001.2020_246s_E23_S179_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	27537	3551	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	4.39045647674039	0.112575807095907
X2020_246s_E24_S187_L002_R1_001.2020_246s_E24_S187_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	105717	6461	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	3.69193223417237	0.0283776497630466
