orig.ident	nCount_RNA	nFeature_RNA	plate	Cell_type	Age	Age_Cell_type	pool	Pool_Cell_type	percent.mt	percent.ERCC
plate_092s_G16_S124_L005_R1_001.plate_092s_G16_S124_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	171848	3674	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.63574787021088	0.415483450491132
plate_092s_G21_S164_L005_R1_001.plate_092s_G21_S164_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	290613	5665	092s	LMPP	Old	Old_LMPP	092_1	092_1_LMPP	1.02610688441329	0.141425194330605
plate_092s_G23_S180_L005_R1_001.plate_092s_G23_S180_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	388867	6275	092s	LMPP	Old	Old_LMPP	092_2	092_2_LMPP	1.00934252585074	0.127035721724909
plate_092s_H1_S196_L005_R1_001.plate_092s_H1_S196_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	341216	4567	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	0.844919347275626	0.362820031885961
plate_092s_H2_S204_L005_R1_001.plate_092s_H2_S204_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	217775	4176	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.00378831362645	0.291126162323499
plate_092s_H3_S212_L005_R1_001.plate_092s_H3_S212_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	192930	3459	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	0.963043590939719	0.284040843829368
plate_092s_H4_S220_L005_R1_001.plate_092s_H4_S220_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	104730	4564	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.33390623508068	0.283586364938413
plate_092s_H5_S228_L005_R1_001.plate_092s_H5_S228_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	222888	4877	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.11311510713901	0.304188650802197
plate_092s_H6_S236_L005_R1_001.plate_092s_H6_S236_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	129108	3644	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.185054373083	0.290454503206618
plate_092s_H11_S276_L005_R1_001.plate_092s_H11_S276_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	155078	3748	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.47216239569765	0.464927326893563
plate_092s_H12_S284_L005_R1_001.plate_092s_H12_S284_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	159794	4400	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.48065634504424	0.237180369726022
plate_092s_H13_S292_L005_R1_001.plate_092s_H13_S292_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	139738	4036	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.73682176644864	0.389299975668752
plate_092s_H14_S300_L005_R1_001.plate_092s_H14_S300_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	118215	4233	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	2.4057860677579	0.276614642811826
plate_092s_H15_S308_L005_R1_001.plate_092s_H15_S308_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	263034	5331	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.59941300364211	0.253199206186273
plate_092s_H16_S316_L005_R1_001.plate_092s_H16_S316_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	93184	3544	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.85976133241758	0.360576923076923
plate_092s_H21_S356_L005_R1_001.plate_092s_H21_S356_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	298450	5709	092s	LMPP	Old	Old_LMPP	092_1	092_1_LMPP	1.02362204724409	0.10051934997487
plate_092s_H23_S372_L005_R1_001.plate_092s_H23_S372_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	235182	4920	092s	LMPP	Old	Old_LMPP	092_2	092_2_LMPP	1.23393797144339	0.267452441088179
plate_092s_I1_S5_L005_R1_001.plate_092s_I1_S5_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	170868	4016	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.43970784465201	0.187279069223026
plate_092s_I2_S13_L005_R1_001.plate_092s_I2_S13_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	328273	5250	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.10243608216332	0.306452251632026
plate_092s_I3_S21_L005_R1_001.plate_092s_I3_S21_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	61406	3428	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.54545158453571	0.131908933980393
plate_092s_I4_S29_L005_R1_001.plate_092s_I4_S29_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	131546	3989	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.62148602009943	0.174843780882733
plate_092s_I5_S37_L005_R1_001.plate_092s_I5_S37_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	161075	4277	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.20937451497749	0.257023125873041
plate_092s_I6_S45_L005_R1_001.plate_092s_I6_S45_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	144210	4385	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.73913043478261	0.176825462866653
plate_092s_I11_S85_L005_R1_001.plate_092s_I11_S85_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	140325	4426	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.63833956885801	0.216639942989489
plate_092s_I12_S93_L005_R1_001.plate_092s_I12_S93_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	134043	3887	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.7449624374268	0.359586102966958
plate_092s_I13_S101_L005_R1_001.plate_092s_I13_S101_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	116170	3651	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.80683481105277	0.410605147628475
plate_092s_I14_S109_L005_R1_001.plate_092s_I14_S109_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	285267	4765	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.40324678283853	0.366674028191133
plate_092s_I15_S117_L005_R1_001.plate_092s_I15_S117_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	62042	3490	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	2.18400438412688	0.315915025305438
plate_092s_I16_S125_L005_R1_001.plate_092s_I16_S125_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	129729	3958	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.51932104618088	0.163417585890587
plate_092s_I22_S173_L005_R1_001.plate_092s_I22_S173_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	442789	7295	092s	GMP	Old	Old_GMP	092_1	092_1_GMP	1.0469998125518	0.0964341932613502
plate_092s_I24_S189_L005_R1_001.plate_092s_I24_S189_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	712777	8817	092s	GMP	Old	Old_GMP	092_2	092_2_GMP	0.910382910784158	0.085019578353398
plate_092s_J1_S197_L005_R1_001.plate_092s_J1_S197_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	365524	4760	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	0.826484717829746	0.190958733215876
plate_092s_J2_S205_L005_R1_001.plate_092s_J2_S205_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	270313	4763	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.39467950117087	0.294473443748543
plate_092s_J3_S213_L005_R1_001.plate_092s_J3_S213_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	74128	3030	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.26807684006044	0.191560543924023
plate_092s_J4_S221_L005_R1_001.plate_092s_J4_S221_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	89444	3847	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.74075399132418	0.13416215732749
plate_092s_J5_S229_L005_R1_001.plate_092s_J5_S229_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	170186	4621	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	0.93956024584866	0.233274182365177
plate_092s_J6_S237_L005_R1_001.plate_092s_J6_S237_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	200265	5628	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.25883204753701	0.276134122287968
plate_092s_J11_S277_L005_R1_001.plate_092s_J11_S277_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	209108	4474	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.50544216385791	0.358188113319433
plate_092s_J12_S285_L005_R1_001.plate_092s_J12_S285_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	411420	3638	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.78649555199067	0.50605220942103
plate_092s_J13_S293_L005_R1_001.plate_092s_J13_S293_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	171737	4350	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.78354111228215	0.187495996785783
plate_092s_J14_S301_L005_R1_001.plate_092s_J14_S301_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	152773	4145	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.41909892454819	0.319428171208263
plate_092s_J15_S309_L005_R1_001.plate_092s_J15_S309_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	91509	3671	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.76813209629654	0.342042859172322
plate_092s_J16_S317_L005_R1_001.plate_092s_J16_S317_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	86869	3701	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.69335436116451	0.29009197757543
plate_092s_J22_S365_L005_R1_001.plate_092s_J22_S365_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	882122	8535	092s	GMP	Old	Old_GMP	092_1	092_1_GMP	0.859291571914089	0.0587220361809364
plate_092s_J24_S381_L005_R1_001.plate_092s_J24_S381_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	498799	8463	092s	GMP	Old	Old_GMP	092_2	092_2_GMP	1.2638357334317	0.0703690264014162
plate_092s_K1_S6_L005_R1_001.plate_092s_K1_S6_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	3678	1620	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.54975530179445	0.0815660685154976
plate_092s_K2_S14_L005_R1_001.plate_092s_K2_S14_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	125864	4694	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.07020275853302	0.24550308269243
plate_092s_K3_S22_L005_R1_001.plate_092s_K3_S22_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	117305	3183	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.02808916925962	0.32649929670517
plate_092s_K4_S30_L005_R1_001.plate_092s_K4_S30_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	226274	4848	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.11281013284779	0.204177236447846
plate_092s_K5_S38_L005_R1_001.plate_092s_K5_S38_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	297973	6222	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	0.881623502800589	0.0943038463216466
plate_092s_K6_S46_L005_R1_001.plate_092s_K6_S46_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	112946	4050	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.0659961397482	0.185929559258407
plate_092s_K11_S86_L005_R1_001.plate_092s_K11_S86_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	160164	3935	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.36734846782048	0.373367298519018
plate_092s_K12_S94_L005_R1_001.plate_092s_K12_S94_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	151675	4086	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.6601285643646	0.587440250535685
plate_092s_K13_S102_L005_R1_001.plate_092s_K13_S102_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	150024	3122	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.24980003199488	0.443928971364582
plate_092s_K14_S110_L005_R1_001.plate_092s_K14_S110_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	167960	3839	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.16694451059776	0.347106453917599
plate_092s_K15_S118_L005_R1_001.plate_092s_K15_S118_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	88098	2924	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.65384004177166	0.519875593089514
plate_092s_K16_S126_L005_R1_001.plate_092s_K16_S126_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	124599	3530	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.32424818818771	0.358750872799942
plate_092s_K22_S174_L005_R1_001.plate_092s_K22_S174_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	345785	7105	092s	GMP	Old	Old_GMP	092_1	092_1_GMP	0.834044276067499	0.0722992611015515
plate_092s_K24_S190_L005_R1_001.plate_092s_K24_S190_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	536764	8025	092s	GMP	Old	Old_GMP	092_2	092_2_GMP	0.825502455455284	0.0452712924115626
plate_092s_L1_S198_L005_R1_001.plate_092s_L1_S198_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	183369	4315	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	0.825112205443668	0.259585862386772
plate_092s_L2_S206_L005_R1_001.plate_092s_L2_S206_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	137223	4548	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.13610692085146	0.25141557902101
plate_092s_L3_S214_L005_R1_001.plate_092s_L3_S214_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	126172	3486	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	0.932060996100561	0.457312240433694
plate_092s_L4_S222_L005_R1_001.plate_092s_L4_S222_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	156638	4461	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.24363181348076	0.145558549011096
plate_092s_L5_S230_L005_R1_001.plate_092s_L5_S230_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	165876	4702	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.09539656128674	0.0602859967686706
plate_092s_L6_S238_L005_R1_001.plate_092s_L6_S238_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	112297	4368	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.60111133868224	0.305440038469416
plate_092s_L11_S278_L005_R1_001.plate_092s_L11_S278_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	150447	3835	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.414451600896	0.525101863114585
plate_092s_L12_S286_L005_R1_001.plate_092s_L12_S286_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	58214	3919	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	2.11976500498162	1.2385336860549
plate_092s_L13_S294_L005_R1_001.plate_092s_L13_S294_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	147588	3652	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.37206276933084	0.377401956798656
plate_092s_L14_S302_L005_R1_001.plate_092s_L14_S302_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	209229	4612	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.55618962954466	0.312576172519106
plate_092s_L15_S310_L005_R1_001.plate_092s_L15_S310_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	129525	3386	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.24763559158464	0.417679984558965
plate_092s_L16_S318_L005_R1_001.plate_092s_L16_S318_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	113409	3764	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.69651438598348	0.318316888430371
plate_092s_L22_S366_L005_R1_001.plate_092s_L22_S366_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	259781	6293	092s	GMP	Old	Old_GMP	092_1	092_1_GMP	0.820306334951363	0.0585108225774787
plate_092s_L24_S382_L005_R1_001.plate_092s_L24_S382_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	477177	8630	092s	GMP	Old	Old_GMP	092_2	092_2_GMP	0.908048795310755	0.0423323001737301
plate_092s_M1_S7_L005_R1_001.plate_092s_M1_S7_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	241513	4720	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.03307068356569	0.0401634694612712
plate_092s_M2_S15_L005_R1_001.plate_092s_M2_S15_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	267911	4642	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.22167436200828	0.344890653985839
plate_092s_M3_S23_L005_R1_001.plate_092s_M3_S23_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	53385	3101	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.56410976866161	0.10302519434298
plate_092s_M4_S31_L005_R1_001.plate_092s_M4_S31_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	112713	4406	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.96960421601767	0.166795311987082
plate_092s_M5_S39_L005_R1_001.plate_092s_M5_S39_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	141787	4316	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.37600767348205	0.272239344932892
plate_092s_M6_S47_L005_R1_001.plate_092s_M6_S47_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	133922	4133	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.50460715939129	0.141873627932677
plate_092s_M11_S87_L005_R1_001.plate_092s_M11_S87_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	101803	3923	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	2.27203520524935	0.229855701698378
plate_092s_M12_S95_L005_R1_001.plate_092s_M12_S95_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	150451	5022	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.52009624395983	0.218011179719643
plate_092s_M13_S103_L005_R1_001.plate_092s_M13_S103_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	92156	3784	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.53001432353835	0.238725639133643
plate_092s_M14_S111_L005_R1_001.plate_092s_M14_S111_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	118183	4212	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.9833647817368	0.4129189477336
plate_092s_M15_S119_L005_R1_001.plate_092s_M15_S119_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	75439	5403	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	3.18137833216241	0.0901390527446016
plate_092s_M16_S127_L005_R1_001.plate_092s_M16_S127_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	52214	3333	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	2.51465124296166	0.413682154211514
plate_092s_M22_S175_L005_R1_001.plate_092s_M22_S175_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	308919	7379	092s	GMP	Old	Old_GMP	092_1	092_1_GMP	1.28577394074175	0.0683026942337635
plate_092s_M24_S191_L005_R1_001.plate_092s_M24_S191_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	735796	9513	092s	GMP	Old	Old_GMP	092_2	092_2_GMP	0.928110508891051	0.0519165638301921
plate_092s_N1_S199_L005_R1_001.plate_092s_N1_S199_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	254104	4089	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.01415168592387	0.465163869911532
plate_092s_N2_S207_L005_R1_001.plate_092s_N2_S207_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	193627	4271	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.11141524684057	0.361519829362641
plate_092s_N3_S215_L005_R1_001.plate_092s_N3_S215_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	53185	3324	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	1.43273479364482	0.238789132274137
plate_092s_N4_S223_L005_R1_001.plate_092s_N4_S223_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	74770	4212	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.85903437207436	0.143105523605724
plate_092s_N5_S231_L005_R1_001.plate_092s_N5_S231_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	162068	4726	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.48517906064121	0.195596909939038
plate_092s_N6_S239_L005_R1_001.plate_092s_N6_S239_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	3426	1642	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.7221249270286	0.145942790426153
plate_092s_N11_S279_L005_R1_001.plate_092s_N11_S279_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	106922	4039	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.76483791923084	0.415255980995492
plate_092s_N12_S287_L005_R1_001.plate_092s_N12_S287_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	76588	4407	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	2.3763513866402	0.304225204992949
plate_092s_N13_S295_L005_R1_001.plate_092s_N13_S295_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	98722	3844	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	2.65796884179818	0.248171633475821
plate_092s_N14_S303_L005_R1_001.plate_092s_N14_S303_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	63646	3752	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	2.85171102661597	0.210539546868617
plate_092s_N15_S311_L005_R1_001.plate_092s_N15_S311_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	23746	3246	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	2.4130379853449	0.290575254779752
plate_092s_N16_S319_L005_R1_001.plate_092s_N16_S319_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	36721	3238	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.75104163829961	0.332234960921544
plate_092s_N22_S367_L005_R1_001.plate_092s_N22_S367_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	230319	6673	092s	GMP	Old	Old_GMP	092_1	092_1_GMP	1.37418102718404	0.0659954237383802
plate_092s_N24_S383_L005_R1_001.plate_092s_N24_S383_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	633951	8438	092s	GMP	Old	Old_GMP	092_2	092_2_GMP	0.900700527327822	0.0312326977952555
plate_092s_O1_S8_L005_R1_001.plate_092s_O1_S8_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	222075	4053	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	0.931216931216931	0.225599459642013
plate_092s_O2_S16_L005_R1_001.plate_092s_O2_S16_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	342876	4986	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	0.942323172225528	0.239445163849322
plate_092s_O3_S24_L005_R1_001.plate_092s_O3_S24_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	115459	3345	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	2.34282299344356	0.296209043903031
plate_092s_O4_S32_L005_R1_001.plate_092s_O4_S32_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	344355	5066	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	0.677788909700745	0.187597101828055
plate_092s_O5_S40_L005_R1_001.plate_092s_O5_S40_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	269800	5103	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.30429948109711	0.200889547813195
plate_092s_O6_S48_L005_R1_001.plate_092s_O6_S48_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	286934	4907	092s	CD49b+	Old	Old_CD49b+	092_1	092_1_CD49b+	1.3773202199809	0.282643395345271
plate_092s_O11_S88_L005_R1_001.plate_092s_O11_S88_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	8495	2065	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.1065332548558	0.294290759270159
plate_092s_O12_S96_L005_R1_001.plate_092s_O12_S96_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	21550	2839	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.61948955916473	0.245939675174014
plate_092s_O13_S104_L005_R1_001.plate_092s_O13_S104_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	7921	2380	092s	CD49b-	Old	Old_CD49b-	092_2	092_2_CD49b-	1.5149602322939	0.227244034844085
plate_092s_O14_S112_L005_R1_001.plate_092s_O14_S112_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	20258	3292	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	2.09793661763254	0.177707572317109
plate_092s_O15_S120_L005_R1_001.plate_092s_O15_S120_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	7139	1816	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.4707942288836	0.210113461269085
plate_092s_O16_S128_L005_R1_001.plate_092s_O16_S128_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	17104	2677	092s	CD49b+	Old	Old_CD49b+	092_2	092_2_CD49b+	1.40902712815716	0.16955098222638
plate_092s_O22_S176_L005_R1_001.plate_092s_O22_S176_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	9286	2826	092s	GMP	Old	Old_GMP	092_1	092_1_GMP	1.22765453370666	0.19384018953263
plate_092s_O24_S192_L005_R1_001.plate_092s_O24_S192_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	23229	4819	092s	GMP	Old	Old_GMP	092_2	092_2_GMP	1.23121959619441	0.0602694907228034
plate_092s_P1_S200_L005_R1_001.plate_092s_P1_S200_L005_R1_001_accepted_hits_sorted_rm_dup.bam	plate	341760	4113	092s	CD49b-	Old	Old_CD49b-	092_1	092_1_CD49b-	0.848548689138577	0.246664325842697
