Cell_type	Age
plate_092s_F2_S203_L005_R1_001.plate_092s_F2_S203_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_F3_S211_L005_R1_001.plate_092s_F3_S211_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_F4_S219_L005_R1_001.plate_092s_F4_S219_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_F5_S227_L005_R1_001.plate_092s_F5_S227_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_F6_S235_L005_R1_001.plate_092s_F6_S235_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_F11_S275_L005_R1_001.plate_092s_F11_S275_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_F12_S283_L005_R1_001.plate_092s_F12_S283_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_F13_S291_L005_R1_001.plate_092s_F13_S291_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_F14_S299_L005_R1_001.plate_092s_F14_S299_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_F15_S307_L005_R1_001.plate_092s_F15_S307_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_F16_S315_L005_R1_001.plate_092s_F16_S315_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_F21_S355_L005_R1_001.plate_092s_F21_S355_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_F23_S371_L005_R1_001.plate_092s_F23_S371_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_G1_S4_L005_R1_001.plate_092s_G1_S4_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_G2_S12_L005_R1_001.plate_092s_G2_S12_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_G3_S20_L005_R1_001.plate_092s_G3_S20_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_G4_S28_L005_R1_001.plate_092s_G4_S28_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_G5_S36_L005_R1_001.plate_092s_G5_S36_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_G6_S44_L005_R1_001.plate_092s_G6_S44_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_G11_S84_L005_R1_001.plate_092s_G11_S84_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_G12_S92_L005_R1_001.plate_092s_G12_S92_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_G13_S100_L005_R1_001.plate_092s_G13_S100_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_G14_S108_L005_R1_001.plate_092s_G14_S108_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_G15_S116_L005_R1_001.plate_092s_G15_S116_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_G16_S124_L005_R1_001.plate_092s_G16_S124_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_G21_S164_L005_R1_001.plate_092s_G21_S164_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_G23_S180_L005_R1_001.plate_092s_G23_S180_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_H1_S196_L005_R1_001.plate_092s_H1_S196_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_H2_S204_L005_R1_001.plate_092s_H2_S204_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_H3_S212_L005_R1_001.plate_092s_H3_S212_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_H4_S220_L005_R1_001.plate_092s_H4_S220_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_H5_S228_L005_R1_001.plate_092s_H5_S228_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_H6_S236_L005_R1_001.plate_092s_H6_S236_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_H11_S276_L005_R1_001.plate_092s_H11_S276_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_H12_S284_L005_R1_001.plate_092s_H12_S284_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_H13_S292_L005_R1_001.plate_092s_H13_S292_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_H14_S300_L005_R1_001.plate_092s_H14_S300_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_H15_S308_L005_R1_001.plate_092s_H15_S308_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_H16_S316_L005_R1_001.plate_092s_H16_S316_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_H21_S356_L005_R1_001.plate_092s_H21_S356_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_H23_S372_L005_R1_001.plate_092s_H23_S372_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_092s_I1_S5_L005_R1_001.plate_092s_I1_S5_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_I2_S13_L005_R1_001.plate_092s_I2_S13_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_I3_S21_L005_R1_001.plate_092s_I3_S21_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_I4_S29_L005_R1_001.plate_092s_I4_S29_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_I5_S37_L005_R1_001.plate_092s_I5_S37_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_I6_S45_L005_R1_001.plate_092s_I6_S45_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_I11_S85_L005_R1_001.plate_092s_I11_S85_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_I12_S93_L005_R1_001.plate_092s_I12_S93_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_I13_S101_L005_R1_001.plate_092s_I13_S101_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_I14_S109_L005_R1_001.plate_092s_I14_S109_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_I15_S117_L005_R1_001.plate_092s_I15_S117_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_I16_S125_L005_R1_001.plate_092s_I16_S125_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_I22_S173_L005_R1_001.plate_092s_I22_S173_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_092s_I24_S189_L005_R1_001.plate_092s_I24_S189_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_092s_J1_S197_L005_R1_001.plate_092s_J1_S197_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_J2_S205_L005_R1_001.plate_092s_J2_S205_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_J3_S213_L005_R1_001.plate_092s_J3_S213_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_J4_S221_L005_R1_001.plate_092s_J4_S221_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_J5_S229_L005_R1_001.plate_092s_J5_S229_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_J6_S237_L005_R1_001.plate_092s_J6_S237_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_J11_S277_L005_R1_001.plate_092s_J11_S277_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_J12_S285_L005_R1_001.plate_092s_J12_S285_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_J13_S293_L005_R1_001.plate_092s_J13_S293_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_J14_S301_L005_R1_001.plate_092s_J14_S301_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_J15_S309_L005_R1_001.plate_092s_J15_S309_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_J16_S317_L005_R1_001.plate_092s_J16_S317_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_J24_S381_L005_R1_001.plate_092s_J24_S381_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_092s_K2_S14_L005_R1_001.plate_092s_K2_S14_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_K3_S22_L005_R1_001.plate_092s_K3_S22_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_K4_S30_L005_R1_001.plate_092s_K4_S30_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_K5_S38_L005_R1_001.plate_092s_K5_S38_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_K6_S46_L005_R1_001.plate_092s_K6_S46_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_K11_S86_L005_R1_001.plate_092s_K11_S86_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_K12_S94_L005_R1_001.plate_092s_K12_S94_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_K13_S102_L005_R1_001.plate_092s_K13_S102_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_K14_S110_L005_R1_001.plate_092s_K14_S110_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_K15_S118_L005_R1_001.plate_092s_K15_S118_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_K16_S126_L005_R1_001.plate_092s_K16_S126_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_K22_S174_L005_R1_001.plate_092s_K22_S174_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_092s_K24_S190_L005_R1_001.plate_092s_K24_S190_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_092s_L1_S198_L005_R1_001.plate_092s_L1_S198_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_L2_S206_L005_R1_001.plate_092s_L2_S206_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_L3_S214_L005_R1_001.plate_092s_L3_S214_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_L4_S222_L005_R1_001.plate_092s_L4_S222_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_L5_S230_L005_R1_001.plate_092s_L5_S230_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_L6_S238_L005_R1_001.plate_092s_L6_S238_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_L11_S278_L005_R1_001.plate_092s_L11_S278_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_L12_S286_L005_R1_001.plate_092s_L12_S286_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_L13_S294_L005_R1_001.plate_092s_L13_S294_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_L14_S302_L005_R1_001.plate_092s_L14_S302_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_L15_S310_L005_R1_001.plate_092s_L15_S310_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_L16_S318_L005_R1_001.plate_092s_L16_S318_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_L22_S366_L005_R1_001.plate_092s_L22_S366_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_092s_L24_S382_L005_R1_001.plate_092s_L24_S382_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_092s_M1_S7_L005_R1_001.plate_092s_M1_S7_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_M2_S15_L005_R1_001.plate_092s_M2_S15_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_M3_S23_L005_R1_001.plate_092s_M3_S23_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_M4_S31_L005_R1_001.plate_092s_M4_S31_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_M5_S39_L005_R1_001.plate_092s_M5_S39_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_M6_S47_L005_R1_001.plate_092s_M6_S47_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_M11_S87_L005_R1_001.plate_092s_M11_S87_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_M12_S95_L005_R1_001.plate_092s_M12_S95_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_M13_S103_L005_R1_001.plate_092s_M13_S103_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_M14_S111_L005_R1_001.plate_092s_M14_S111_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_M15_S119_L005_R1_001.plate_092s_M15_S119_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_M16_S127_L005_R1_001.plate_092s_M16_S127_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_M22_S175_L005_R1_001.plate_092s_M22_S175_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_092s_M24_S191_L005_R1_001.plate_092s_M24_S191_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_092s_N1_S199_L005_R1_001.plate_092s_N1_S199_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_N2_S207_L005_R1_001.plate_092s_N2_S207_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_N3_S215_L005_R1_001.plate_092s_N3_S215_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_N4_S223_L005_R1_001.plate_092s_N4_S223_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_N5_S231_L005_R1_001.plate_092s_N5_S231_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_N11_S279_L005_R1_001.plate_092s_N11_S279_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_N12_S287_L005_R1_001.plate_092s_N12_S287_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_N13_S295_L005_R1_001.plate_092s_N13_S295_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_N14_S303_L005_R1_001.plate_092s_N14_S303_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_N22_S367_L005_R1_001.plate_092s_N22_S367_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_092s_N24_S383_L005_R1_001.plate_092s_N24_S383_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old
plate_092s_O1_S8_L005_R1_001.plate_092s_O1_S8_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_O2_S16_L005_R1_001.plate_092s_O2_S16_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_O3_S24_L005_R1_001.plate_092s_O3_S24_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_O4_S32_L005_R1_001.plate_092s_O4_S32_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_O5_S40_L005_R1_001.plate_092s_O5_S40_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_O6_S48_L005_R1_001.plate_092s_O6_S48_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_P1_S200_L005_R1_001.plate_092s_P1_S200_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_P2_S208_L005_R1_001.plate_092s_P2_S208_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_P3_S216_L005_R1_001.plate_092s_P3_S216_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_092s_P4_S224_L005_R1_001.plate_092s_P4_S224_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_P5_S232_L005_R1_001.plate_092s_P5_S232_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_092s_P6_S240_L005_R1_001.plate_092s_P6_S240_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_A2_S9_L006_R1_001.plate_093s_A2_S9_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_A3_S17_L006_R1_001.plate_093s_A3_S17_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_A4_S25_L006_R1_001.plate_093s_A4_S25_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_A5_S33_L006_R1_001.plate_093s_A5_S33_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_A6_S41_L006_R1_001.plate_093s_A6_S41_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_A11_S81_L006_R1_001.plate_093s_A11_S81_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_A12_S89_L006_R1_001.plate_093s_A12_S89_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_A13_S97_L006_R1_001.plate_093s_A13_S97_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_A21_S161_L006_R1_001.plate_093s_A21_S161_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_A23_S177_L006_R1_001.plate_093s_A23_S177_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_B3_S209_L006_R1_001.plate_093s_B3_S209_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_B11_S273_L006_R1_001.plate_093s_B11_S273_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_B12_S281_L006_R1_001.plate_093s_B12_S281_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_B13_S289_L006_R1_001.plate_093s_B13_S289_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_B14_S297_L006_R1_001.plate_093s_B14_S297_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_B15_S305_L006_R1_001.plate_093s_B15_S305_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_B16_S313_L006_R1_001.plate_093s_B16_S313_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_B21_S353_L006_R1_001.plate_093s_B21_S353_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_B23_S369_L006_R1_001.plate_093s_B23_S369_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_C1_S2_L006_R1_001.plate_093s_C1_S2_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_C2_S10_L006_R1_001.plate_093s_C2_S10_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_C4_S26_L006_R1_001.plate_093s_C4_S26_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_C5_S34_L006_R1_001.plate_093s_C5_S34_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_C6_S42_L006_R1_001.plate_093s_C6_S42_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_C11_S82_L006_R1_001.plate_093s_C11_S82_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_C12_S90_L006_R1_001.plate_093s_C12_S90_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_C13_S98_L006_R1_001.plate_093s_C13_S98_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_C14_S106_L006_R1_001.plate_093s_C14_S106_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_C15_S114_L006_R1_001.plate_093s_C15_S114_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_C16_S122_L006_R1_001.plate_093s_C16_S122_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_C21_S162_L006_R1_001.plate_093s_C21_S162_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_C23_S178_L006_R1_001.plate_093s_C23_S178_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_D2_S202_L006_R1_001.plate_093s_D2_S202_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_D4_S218_L006_R1_001.plate_093s_D4_S218_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_D5_S226_L006_R1_001.plate_093s_D5_S226_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_D6_S234_L006_R1_001.plate_093s_D6_S234_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_D11_S274_L006_R1_001.plate_093s_D11_S274_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_D12_S282_L006_R1_001.plate_093s_D12_S282_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_D13_S290_L006_R1_001.plate_093s_D13_S290_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_D14_S298_L006_R1_001.plate_093s_D14_S298_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_D16_S314_L006_R1_001.plate_093s_D16_S314_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_D21_S354_L006_R1_001.plate_093s_D21_S354_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_D23_S370_L006_R1_001.plate_093s_D23_S370_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_E1_S3_L006_R1_001.plate_093s_E1_S3_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_E2_S11_L006_R1_001.plate_093s_E2_S11_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_E4_S27_L006_R1_001.plate_093s_E4_S27_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_E6_S43_L006_R1_001.plate_093s_E6_S43_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_E12_S91_L006_R1_001.plate_093s_E12_S91_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_E14_S107_L006_R1_001.plate_093s_E14_S107_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_E21_S163_L006_R1_001.plate_093s_E21_S163_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_E23_S179_L006_R1_001.plate_093s_E23_S179_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_F1_S195_L006_R1_001.plate_093s_F1_S195_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_F2_S203_L006_R1_001.plate_093s_F2_S203_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_F11_S275_L006_R1_001.plate_093s_F11_S275_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_F12_S283_L006_R1_001.plate_093s_F12_S283_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_F13_S291_L006_R1_001.plate_093s_F13_S291_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_F14_S299_L006_R1_001.plate_093s_F14_S299_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_F15_S307_L006_R1_001.plate_093s_F15_S307_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_F16_S315_L006_R1_001.plate_093s_F16_S315_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_F21_S355_L006_R1_001.plate_093s_F21_S355_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_F23_S371_L006_R1_001.plate_093s_F23_S371_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_G4_S28_L006_R1_001.plate_093s_G4_S28_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_G11_S84_L006_R1_001.plate_093s_G11_S84_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_G12_S92_L006_R1_001.plate_093s_G12_S92_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_G14_S108_L006_R1_001.plate_093s_G14_S108_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_G16_S124_L006_R1_001.plate_093s_G16_S124_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_G21_S164_L006_R1_001.plate_093s_G21_S164_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_G23_S180_L006_R1_001.plate_093s_G23_S180_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
plate_093s_H13_S292_L006_R1_001.plate_093s_H13_S292_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old
plate_093s_H16_S316_L006_R1_001.plate_093s_H16_S316_L006_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old
plate_093s_H21_S356_L006_R1_001.plate_093s_H21_S356_L006_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old
