Cell_type	Age
X2020_246s_N11_S279_L002_R1_001.2020_246s_N11_S279_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_N12_S287_L002_R1_001.2020_246s_N12_S287_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_N13_S295_L002_R1_001.2020_246s_N13_S295_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_N14_S303_L002_R1_001.2020_246s_N14_S303_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_N17_S327_L002_R1_001.2020_246s_N17_S327_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_N18_S335_L002_R1_001.2020_246s_N18_S335_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_N20_S351_L002_R1_001.2020_246s_N20_S351_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_N24_S383_L002_R1_001.2020_246s_N24_S383_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_O1_S8_L002_R1_001.2020_246s_O1_S8_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_O5_S40_L002_R1_001.2020_246s_O5_S40_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_O6_S48_L002_R1_001.2020_246s_O6_S48_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_O11_S88_L002_R1_001.2020_246s_O11_S88_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_O13_S104_L002_R1_001.2020_246s_O13_S104_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_O14_S112_L002_R1_001.2020_246s_O14_S112_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_O17_S136_L002_R1_001.2020_246s_O17_S136_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_O18_S144_L002_R1_001.2020_246s_O18_S144_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_O19_S152_L002_R1_001.2020_246s_O19_S152_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_O23_S184_L002_R1_001.2020_246s_O23_S184_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_O24_S192_L002_R1_001.2020_246s_O24_S192_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_P1_S200_L002_R1_001.2020_246s_P1_S200_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_P5_S232_L002_R1_001.2020_246s_P5_S232_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_P6_S240_L002_R1_001.2020_246s_P6_S240_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_P7_S248_L002_R1_001.2020_246s_P7_S248_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
