p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Tial1	2.38829186686118e-19	1.35050092611938	0.601	0.161	3.59652872230625e-15
Tug1	2.50975059035476e-19	2.20079670947505	0.721	0.254	3.77943341401524e-15
Sat1	7.74872326544875e-19	1.50828011091463	0.798	0.5	1.16688023654393e-14
Dynll1	8.00765507920142e-19	1.67298218603871	0.979	0.696	1.20587277837694e-14
Taok1	9.82937122435649e-19	1.66706446510317	0.682	0.179	1.48020501267584e-14
Nmt2	1.33592363788199e-18	2.11269112881766	0.7	0.282	2.01176740628649e-14
Cox6b1	1.88558779757345e-18	1.24958731863439	0.901	0.854	2.83950666436586e-14
Atp5e	2.91924380579712e-18	1.24833356395865	0.936	0.871	4.39608924714988e-14
Dpp10	3.48639855767838e-18	1.19798267643215	0.708	0.25	5.25016758800788e-14
Zbtb38	6.33140224365511e-18	2.34111603332776	0.811	0.475	9.53445863872024e-14
Nsd1	6.74442641564261e-18	1.65027782679538	0.837	0.486	1.01564317393162e-13
4933429H19Rik	1.06442357019347e-17	1.26591542269045	0.76	0.275	1.60291545435434e-13
Canx	1.51150445948069e-17	1.14272943755848	0.957	0.764	2.27617456553197e-13
Gm43498	1.66488702900065e-17	1.1185871507028	0.652	0.221	2.50715337697208e-13
Gm43126	2.31868999680483e-17	1.86597892809796	0.734	0.271	3.4917152661884e-13
Gm10025	2.39531025709437e-17	1.06532735991491	0.515	0.118	3.60709771615842e-13
Atp5k	2.42741769303063e-17	1.23354742638018	0.82	0.546	3.65544830393482e-13
Luc7l2	3.54184240940311e-17	1.41601635284777	0.773	0.311	5.33366048432014e-13
Ost4	3.61783069964816e-17	1.15953246932628	0.91	0.732	5.44809125060016e-13
Kcnq1ot1	5.65234010836413e-17	1.08951307053721	0.991	0.975	8.51185896918554e-13
Ddhd2	6.53632425475581e-17	2.12328309730225	0.785	0.371	9.84305069523678e-13
Sh3bgrl3	6.67806076317373e-17	1.05323099023846	0.948	0.864	1.00564917032633e-12
Mllt3	7.43781099540093e-17	1.03458038420685	0.94	0.793	1.12005995779743e-12
RP23-390I1.6	7.60264301398427e-17	1.11561597361546	0.773	0.318	1.14488201147589e-12
Paip1	7.62114569660298e-17	2.11222232304089	0.691	0.375	1.14766833045144e-12
Gm27640	9.44246646615249e-17	1.20427167959464	0.485	0.032	1.4219410251379e-12
Kdm5a	1.18823273025464e-16	1.11021661192184	0.871	0.464	1.78935966849047e-12
Eif5	1.40046762618993e-16	1.21576850000197	0.931	0.754	2.10896419827942e-12
Ikzf2	1.69511718571266e-16	1.90971165029573	0.584	0.146	2.5526769699647e-12
Gatad2b	2.02390740153419e-16	1.8214264303831	0.876	0.3	3.04780215597033e-12
Gm15541	2.1168255048344e-16	1.22843840171184	0.665	0.204	3.18772752773012e-12
Ahnak	2.3136500596646e-16	2.21458464376928	0.524	0.089	3.48412562484892e-12
Gm26538	2.46285376823119e-16	1.14179667490464	0.747	0.239	3.70881148957934e-12
Tcf7l2	3.31945291128352e-16	2.14672891838351	0.734	0.554	4.99876413910185e-12
Phactr2	3.41758089782913e-16	2.40121679358474	0.764	0.414	5.14653507404089e-12
Calcrl	4.59401790586828e-16	1.3152070857992	0.682	0.25	6.91813156444704e-12
Gm12940	5.08280441026605e-16	1.16354710509855	0.828	0.289	7.65419516141964e-12
Prrc2c	8.37218635751521e-16	1.08403546522084	0.957	0.743	1.26076754357822e-11
Chchd7	1.08682970912225e-15	1.34541102561475	0.85	0.514	1.6366568589672e-11
Rc3h2	1.27573592543712e-15	1.21254256661009	0.605	0.182	1.92113073011575e-11
Tceb2	1.7600287808888e-15	1.12530449655594	0.906	0.818	2.65042734114045e-11
RP23-26I10.2	1.88198248730419e-15	2.2761332672656	0.253	0.014	2.83407742763138e-11
Col4a2	2.12767976268969e-15	1.83583500300381	0.567	0.2	3.20407295463441e-11
Sulf2	2.2418853639356e-15	1.49190289566489	0.485	0.046	3.37605516955062e-11
Lgals1	2.28783697577565e-15	2.39294825460841	0.536	0.196	3.44525370182056e-11
Gm40309	2.54612567024908e-15	2.84527719432251	0.481	0.093	3.83421064682809e-11
Ccnd2	2.6280774946315e-15	1.33726227778186	0.991	0.968	3.95762189916557e-11
Lrrc8a	2.87292041624213e-15	2.25006195091847	0.76	0.775	4.32633085481903e-11
Gm27517	2.96069192793802e-15	2.01983716818487	0.489	0.057	4.45850597428187e-11
Tnrc6b	3.46463137247904e-15	1.43232823910458	0.755	0.354	5.21738838381618e-11
Tma7	4.46358715912875e-15	1.25038437439197	0.854	0.654	6.72171590293199e-11
Mrps21	5.11813138537646e-15	1.27820839883636	0.588	0.3	7.70739405323842e-11
Dhtkd1	5.19759434509384e-15	1.08607196026376	0.768	0.286	7.82705732427681e-11
Atp5j2	5.85637509663411e-15	1.26923045246278	0.88	0.732	8.81911525802131e-11
BC051077	6.17688057400902e-15	1.13703716389609	0.738	0.311	9.30176445640019e-11
Gm20716	6.34486212119238e-15	1.09935464370443	0.798	0.529	9.55472786830361e-11
Mysm1	6.42056301562806e-15	1.48463118455192	0.708	0.257	9.66872584523429e-11
Uqcr11	6.73533718276455e-15	1.23491737466264	0.918	0.832	1.01427442635251e-10
Inpp4a	6.84626949224516e-15	2.50586276211489	0.584	0.207	1.0309797228372e-10
Gm26905	6.87937772750393e-15	1.38874500195841	0.858	0.439	1.03596549198482e-10
Sec62	7.24073545805421e-15	1.12318215736957	0.837	0.514	1.09038235262838e-10
Pbrm1	7.70721363246745e-15	1.60967242870618	0.755	0.286	1.16062930091327e-10
Med21	7.81564855535083e-15	1.13927515358839	0.871	0.45	1.17695851595028e-10
RP23-431L24.2	9.07839632738694e-15	1.35042247048695	0.798	0.4	1.3671157029412e-10
Yod1	9.7594613262186e-15	1.89627125649797	0.665	0.175	1.46967728111526e-10
Rbm26	1.18873153401928e-14	1.21903885124616	0.627	0.2	1.79011081707964e-10
Gm17615	1.20301445222583e-14	1.10475447793291	0.378	0.096	1.81161946360687e-10
Pdcd5	1.24252646913257e-14	1.36105487496688	0.657	0.4	1.87112060986674e-10
1810022K09Rik	1.3958166276159e-14	1.01674326383458	0.717	0.382	2.10196025952679e-10
Mgea5	1.54133162071153e-14	1.37066893557227	0.712	0.236	2.32109128762949e-10
RP24-355N14.3	1.64822981043178e-14	1.2423767957906	0.807	0.393	2.48206927152921e-10
Uqcr10	1.78288433211495e-14	1.57006236296214	0.777	0.579	2.6848455157319e-10
Ppp3ca	2.93733121052083e-14	1.34860343661186	0.592	0.189	4.42332706992333e-10
Yme1l1	3.40204402195093e-14	1.47265745955784	0.764	0.332	5.12313809265591e-10
Usmg5	3.68385197997042e-14	1.17075866467198	0.837	0.529	5.54751269663745e-10
RP23-395H6.2	4.50819140689265e-14	1.20255540622197	0.399	0.05	6.78888543963964e-10
Ppm1h	5.37610378589793e-14	1.54220320746364	0.657	0.289	8.09587469118369e-10
4933434E20Rik	5.48973728285823e-14	1.51320247791113	0.863	0.532	8.26699537425621e-10
Msi2	6.18759741759151e-14	1.24976687529568	0.888	0.514	9.31790295115105e-10
Gm27022	7.13470258212658e-14	2.17614192417823	0.339	0.043	1.07441486184244e-09
Hypk	9.05227078171561e-14	1.30475915175524	0.884	0.675	1.36318145701855e-09
Hnrnpa0	9.3114655964271e-14	1.92409386790377	0.515	0.146	1.40221360416596e-09
Gm21981	1.33115644838037e-13	1.06192927309618	0.876	0.779	2.00458849561599e-09
Dhx9	1.38867801989532e-13	1.67669528760276	0.682	0.196	2.09121023016037e-09
Gm43378	1.43573741319779e-13	1.00832145692857	0.403	0.057	2.16207697053456e-09
Cox6a1	1.71780450825891e-13	1.08235241680237	0.906	0.875	2.58684180898709e-09
Mrgprc2-ps	1.84552122715207e-13	1.05313665105116	0.322	0.082	2.7791704159683e-09
Larp4b	1.91089779878987e-13	1.75799971787784	0.601	0.214	2.87762099519767e-09
Vmn1r58	1.95324924484333e-13	1.07721229559458	0.549	0.157	2.94139803780957e-09
Rock1	2.12238969682454e-13	1.33468469119856	0.575	0.157	3.19610664444807e-09
9930111J21Rik2	2.1604147484944e-13	1.11309377884564	0.833	0.396	3.25336856975772e-09
Anapc11	2.55941875356789e-13	1.26985098242103	0.738	0.55	3.85422870099788e-09
Zfp874b	2.57212999405562e-13	1.79877886806815	0.489	0.089	3.87337055804836e-09
Gm43668	2.9625701412939e-13	1.19835906439173	0.511	0.093	4.46133437577449e-09
Dfna5	3.08362399878017e-13	2.03288260167356	0.644	0.261	4.64362937976305e-09
Slfn2	3.15090309091972e-13	1.66903163877565	0.614	0.296	4.74494496461601e-09
2500004C02Rik	3.39918871008572e-13	1.93658521673565	0.618	0.164	5.11883827851809e-09
Ssbp3	3.52667761180219e-13	2.11870738530916	0.575	0.107	5.31082381561291e-09
Nemf	3.8954726520406e-13	1.85005937301184	0.605	0.207	5.86619226670794e-09
Tomm6	4.57140852282864e-13	1.05668697554115	0.867	0.779	6.88408409452765e-09
Srek1	4.93347782514404e-13	1.147395859836	0.721	0.314	7.42932425688442e-09
Gm42445	5.34327647007905e-13	1.34591439989901	0.738	0.289	8.04644003629204e-09
Rock2	6.35122803474691e-13	1.43688863488311	0.618	0.264	9.56431429752537e-09
RP23-431L24.1	6.68693229150742e-13	1.09780212689305	0.549	0.175	1.0069851337781e-08
Kmt2a	6.7896117045101e-13	1.37147905539094	0.863	0.543	1.02244762658218e-08
Nrip2	6.98061136553122e-13	1.06386626407497	0.618	0.189	1.05121026553535e-08
Eif5b	7.70838487822706e-13	1.19458505042602	0.687	0.339	1.16080567881221e-08
Veph1	9.166275431024e-13	1.37260249775867	0.502	0.089	1.3803494171579e-08
Nop10	9.40016330101006e-13	1.11860025515218	0.91	0.861	1.41557059149911e-08
Ddx58	1.0847112040118e-12	1.1224299168964	0.85	0.379	1.63346660212136e-08
Ndufab1	1.15709857061558e-12	1.07089874648968	0.781	0.479	1.74247473749e-08
Clk4	1.44764736192649e-12	1.34251950922339	0.734	0.411	2.1800121623251e-08
Gm17132	1.487199496474e-12	1.20207953305564	0.773	0.293	2.23957372174019e-08
Upf3b	1.55834838524973e-12	1.69607204487876	0.588	0.164	2.34671683334756e-08
Nrk	1.6046230052177e-12	2.83953166110793	0.266	0.021	2.41640178355734e-08
Gm17066	2.10444270996506e-12	1.1319427490038	0.446	0.054	3.16908027693638e-08
Gtf2a1	2.17566588704241e-12	2.24279389608912	0.502	0.168	3.27633525929716e-08
Zfp608	2.1822214231805e-12	1.66400028437559	0.682	0.232	3.28620724116752e-08
Gm28370	2.22139460412811e-12	1.540524055949	0.528	0.146	3.34519813435652e-08
Ccdc6	2.29304723050518e-12	2.1937531364902	0.502	0.125	3.45309982441776e-08
Gnaq	2.33951889351719e-12	2.67298227757925	0.442	0.118	3.52308150174754e-08
Nudt5	2.73350209572467e-12	1.12963769498017	0.82	0.389	4.11638080595178e-08
RP23-349K15.2	2.8009327540327e-12	1.71208781273795	0.734	0.271	4.21792463429785e-08
Ptrf	3.29175794079424e-12	1.57476242345003	0.876	0.507	4.95705828304204e-08
Bclaf1	3.34812794820764e-12	1.14092105159782	0.837	0.646	5.04194587720588e-08
Arpc3	3.57653191662088e-12	1.16659177203126	0.876	0.743	5.38589941323938e-08
Hist1h2ac	3.89974936904316e-12	1.29751834998306	0.279	0.021	5.8726325748421e-08
Tmem258	4.35807528930323e-12	1.05268074810334	0.888	0.736	6.56282557816174e-08
Qk	4.60512908974034e-12	1.19599576654519	0.506	0.164	6.93486389623997e-08
Anxa6	5.17423442003679e-12	1.77805995413726	0.558	0.282	7.7918796131334e-08
Map3k1	5.20330063785919e-12	2.18588304177265	0.695	0.679	7.83565043055216e-08
4933436I20Rik	5.41355081344187e-12	1.11531844396015	0.33	0.075	8.15226616996211e-08
Ndufa5	5.61422537213938e-12	1.20480092000582	0.601	0.357	8.45446198790469e-08
Ttc3	6.11347687096248e-12	1.11198736453391	0.824	0.586	9.2062848199824e-08
Zfp691	6.94980017035054e-12	1.58268603145371	0.442	0.139	1.04657040765309e-07
Nipbl	7.04089167931878e-12	1.1607878571084	0.712	0.393	1.06028787798862e-07
Gigyf1	7.04857928023131e-12	1.40818730548418	0.764	0.279	1.06144555381003e-07
Hist1h2bg	7.19766645003282e-12	1.10448064854093	0.206	0	1.08389659071044e-07
Ndnf	7.24905008165743e-12	2.46077435694712	0.227	0.039	1.09163445179679e-07
Gm16523	7.4401048378386e-12	1.23859223753745	0.292	0.061	1.12040538753012e-07
Tmem256	8.12433165234499e-12	1.15051490469215	0.712	0.539	1.22344310352663e-07
Gm43830	8.27946298438067e-12	1.00362976160385	0.433	0.107	1.24680433081789e-07
Anp32a	8.76749562172286e-12	1.73057887078728	0.605	0.271	1.32029716567525e-07
Ric1	8.77805884219416e-12	1.09902894986182	0.678	0.35	1.32188788104602e-07
Tmem126a	9.26348574344205e-12	1.15818166837417	0.605	0.164	1.39498831810494e-07
Fkbp3	9.33331983544577e-12	1.01797434652236	0.927	0.668	1.40550463401978e-07
Esf1	1.02457465762338e-11	1.60682156561861	0.464	0.136	1.54290697691505e-07
Gm27624	1.0556525779981e-11	1.05729198717728	0.442	0.043	1.58970721720733e-07
Ddi2	1.07222413536947e-11	1.67857313383717	0.532	0.129	1.61466232545288e-07
1190002F15Rik	1.07802021115344e-11	1.85114451412422	0.472	0.171	1.62339063597597e-07
Dnmt3a	1.09521743402857e-11	1.37047396191981	0.845	0.489	1.64928793390362e-07
Bmpr2	1.21038232645384e-11	1.70056148400371	0.515	0.157	1.82271474540684e-07
Twf1	1.2912048009477e-11	1.42873373421519	0.545	0.193	1.94442530974714e-07
Tmed5	1.33451015531385e-11	1.14343580280907	0.858	0.382	2.00963884288712e-07
Swi5	1.45582382439512e-11	1.02461482385594	0.876	0.732	2.19232509715662e-07
Hist1h2ae	1.87857451889576e-11	1.73958283665027	0.236	0.032	2.82894536800512e-07
Tmem263	1.93750801916034e-11	2.00436280450612	0.554	0.143	2.91769332605356e-07
Ms4a6b	1.95415406755587e-11	1.51765276032022	0.459	0.157	2.94276061033239e-07
Atxn7l3b	2.26254952094486e-11	1.01765370293489	0.854	0.718	3.40717332359087e-07
Snora31	2.39590764522435e-11	1.12733570142141	0.159	0	3.60799732294335e-07
Gm42513	2.40229024009602e-11	1.14817912051154	0.635	0.239	3.6176088725606e-07
Srrm2	2.56354535547522e-11	1.27258546548296	0.991	0.904	3.86044295081013e-07
Nudt3	2.76543513206313e-11	1.81119792817376	0.773	0.443	4.16446876537387e-07
Pafah1b1	3.56400822500651e-11	1.48860620577426	0.579	0.211	5.3670399860373e-07
Top1	3.74352500134059e-11	1.28273301321939	0.768	0.361	5.6373742995188e-07
Msl1	3.7628103897696e-11	1.54408279917213	0.485	0.182	5.66641616595403e-07
Gria3	3.84862790200741e-11	2.03701138601481	0.296	0.075	5.79564875763297e-07
Plxdc2	3.91807159735115e-11	1.032385094371	0.639	0.289	5.90022401845109e-07
4930447C04Rik	4.17519605052232e-11	1.74132745858813	0.339	0.036	6.28742773248156e-07
2310001H17Rik	4.35766720898322e-11	1.21008484342922	0.657	0.318	6.56221105000783e-07
U2surp	4.84722331278941e-11	1.07371720539415	0.798	0.407	7.29943358672958e-07
Pfas	4.89331255092014e-11	1.41330427900008	0.627	0.264	7.36883937043064e-07
Mir142hg	5.11846898999435e-11	1.1715661815651	0.571	0.243	7.70790245203249e-07
Rbm8a	5.53283543408106e-11	1.03491383779888	0.773	0.546	8.33189688018268e-07
Cyba	5.62732895706774e-11	1.09041834087774	0.845	0.718	8.47419467644831e-07
Srpk1	5.92452211137063e-11	1.26984928378166	0.824	0.468	8.92173784751302e-07
Prorsd1	5.93293261444666e-11	1.15855781100201	0.528	0.2	8.93440322409523e-07
Ube3a	6.09641743433464e-11	1.36101105754232	0.691	0.311	9.18059501436453e-07
Gm42722	6.48082112987119e-11	1.48938234604531	0.348	0.086	9.75946853947302e-07
Lhcgr	6.8960067043322e-11	1.16964165411227	0.562	0.239	1.03846964960539e-06
Sltm	7.20835753278459e-11	1.10270816714755	0.682	0.332	1.08550656086203e-06
Gm10801	7.51517358022001e-11	1.94880862242724	0.12	0.079	1.13170998944533e-06
RP23-428H16.1	7.85767358316872e-11	1.24913929838771	0.562	0.239	1.18328706488938e-06
Gm42519	7.89139065272359e-11	1.3338096223747	0.794	0.421	1.18836451839364e-06
Gm11346	8.4146376817533e-11	1.75075868521613	0.498	0.125	1.26716028849523e-06
Smc6	8.50772600615230e-11	1.20385674293119	0.481	0.204	1.28117845926648e-06
Maml2	8.70574037617732e-11	2.31757189618233	0.519	0.154	1.31099744324854e-06
Arid4a	8.88250722658719e-11	1.16403161122695	0.648	0.271	1.33761676325176e-06
Zdhhc20	8.92854962077036e-11	1.51437127916901	0.738	0.318	1.34455028739181e-06
Znf512b	9.26313603585368e-11	1.72218977505066	0.712	0.293	1.39493565563921e-06
Tacc1	9.3762157664622e-11	1.72935166468185	0.76	0.361	1.41196433227154e-06
Tm6sf1	1.04317279238101e-10	1.88030193010164	0.395	0.071	1.57091390804656e-06
Rab27a	1.08488168913826e-10	1.19849013160477	0.648	0.175	1.6337233356733e-06
Abcg1	1.26501486646459e-10	1.26686679989734	0.794	0.489	1.90498588740903e-06
Pias4	1.38185105881546e-10	1.18442248283095	0.798	0.321	2.08092950947021e-06
Lamtor2	1.55885602521128e-10	1.49137272811436	0.725	0.571	2.34748128836567e-06
Esrra	1.75114206302838e-10	1.10943163357441	0.867	0.554	2.63704483271444e-06
Lsm5	1.8602312337276e-10	1.07087765885018	0.528	0.243	2.80132221487039e-06
Gm10800	2.0554312805348e-10	2.4479609294405	0.24	0.221	3.09527396535736e-06
Gm10717	2.13038988335923e-10	1.97864357907326	0.103	0.068	3.20815412535067e-06
Cir1	2.2323728067587e-10	1.22854251855531	0.605	0.246	3.36173020969793e-06
Tspan7	2.49359807906034e-10	1.95706473128182	0.498	0.129	3.75510934725696e-06
Top2b	2.78229882780009e-10	1.02788496709959	0.588	0.268	4.18986380478416e-06
Gm42927	2.80495831921032e-10	1.13921897997283	0.914	0.618	4.22398673289882e-06
Gm43305	2.90406196736967e-10	1.55112184591644	0.936	0.811	4.37322691666199e-06
Strbp	3.30621153442719e-10	1.67055062442171	0.635	0.264	4.9788239496939e-06
Hnrnpd	3.41397709975492e-10	1.22851807372046	0.485	0.189	5.14110811452094e-06
Rep15	4.07414814461188e-10	1.42630944239643	0.438	0.104	6.13525969097102e-06
Gm29055	4.2359546090081e-10	1.1309050549621	0.815	0.404	6.37892404570529e-06
Itpripl1	4.5028906746329e-10	2.28038987224837	0.343	0.114	6.78090306692968e-06
Usp37	4.91678520778413e-10	1.82017168755569	0.73	0.339	7.40418684440212e-06
Guf1	5.11875596713991e-10	1.10849240108184	0.738	0.364	7.70833461091599e-06
Psip1	5.85131427127762e-10	1.23186356910793	0.511	0.221	8.81149416111697e-06
Cntln	5.9239538779919e-10	2.00286152216322	0.339	0.1	8.920882144868e-06
Purb	5.96902447734943e-10	1.67081238512251	0.446	0.161	8.9887539604405e-06
Arhgef15	5.97672109546258e-10	1.70364320626368	0.515	0.139	9.0003442976571e-06
Strn3	6.86111758170091e-10	1.29823154817998	0.489	0.179	1.03321569662834e-05
Carf	6.86772769132319e-10	1.31504869426604	0.678	0.289	1.03421111303636e-05
Epb4.1l4b	7.49093204510974e-10	1.57556506028263	0.558	0.225	1.12805945667308e-05
Gm43984	7.6664348889582e-10	2.52092036322938	0.352	0.075	1.15448842992822e-05
Paxbp1	8.11034858875493e-10	1.70962566827893	0.506	0.161	1.2213373939806e-05
Zfhx3	8.28714283402561e-10	1.84249607893537	0.335	0.057	1.24796083937592e-05
Fxyd1	1.08236572756529e-09	2.25007387946963	0.227	0.032	1.62993454914057e-05
Amt	1.08253196491965e-09	1.46972960831913	0.318	0.054	1.6301848859725e-05
Gm26870	1.1040815866846e-09	2.08799783796064	0.227	0.168	1.66263646138833e-05
Gm43294	1.10743382006304e-09	1.32056596107105	0.464	0.2	1.66768458963294e-05
Gm26735	1.22598499428966e-09	1.82623888072844	0.494	0.15	1.84621080290079e-05
Taf1d	1.25461812963109e-09	1.03219103257716	0.687	0.329	1.88932944141145e-05
Spire1	1.26080478782796e-09	2.03740484724909	0.253	0.039	1.89864592999013e-05
Nucks1	1.46590312924012e-09	1.40267269527344	0.609	0.243	2.2075035223227e-05
D7Ertd715e	1.4958136468104e-09	1.16036358380231	0.622	0.254	2.25254577073178e-05
Fgfr1op2	1.62892876037709e-09	1.13279900851832	0.76	0.532	2.45300382025186e-05
Hist1h1e	1.70596701997202e-09	2.15420038491404	0.399	0.118	2.56901573537586e-05
Myh10	1.98403961577751e-09	2.49849808448018	0.219	0.025	2.98776525739936e-05
Dyrk1a	2.25545119447745e-09	1.27135586276237	0.425	0.1	3.39648395376359e-05
RP23-169H13.6	2.31549816428646e-09	1.08120971782585	0.24	0.057	3.48690868559898e-05
Lyrm4	2.33497256971587e-09	1.46344864732298	0.511	0.354	3.51623519273513e-05
Trim12c	2.39503956799427e-09	1.01838369189686	0.365	0.107	3.60669008544257e-05
Hipk1	2.45011669650156e-09	1.2545602886406	0.734	0.289	3.68963073326171e-05
Irf2bp2	2.578657780336e-09	1.44403719911927	0.485	0.175	3.88320075140798e-05
Gimap4	2.64257911081506e-09	1.85962725771188	0.283	0.071	3.9794598829764e-05
Zfp266	2.98345389440259e-09	1.32210391307486	0.657	0.289	4.49278321958086e-05
Atox1	2.98382409576064e-09	1.10220697032441	0.695	0.518	4.49334070580595e-05
Eea1	3.09374866813907e-09	1.41709996573574	0.386	0.114	4.65887611935062e-05
Mrpl42	3.14850546793303e-09	1.13221843392456	0.601	0.375	4.74133438416036e-05
1810058I24Rik	3.17805869003281e-09	1.19765666207205	0.652	0.475	4.7858385813204e-05
Marf1	3.70732705276475e-09	1.60188381302936	0.567	0.404	5.58286380875843e-05
D8Ertd738e	3.7210948050535e-09	1.25006699748359	0.773	0.586	5.60359666693006e-05
RP24-398O5.2	4.0555298366135e-09	1.06679415948636	0.176	0.025	6.10722238095627e-05
Ccdc34	4.13938996023927e-09	1.41926780241845	0.365	0.143	6.23350734112431e-05
Bloc1s2	4.40127396350524e-09	1.04206053438881	0.489	0.225	6.62787846164254e-05
Fmnl2	4.82718240951389e-09	1.64233233885715	0.202	0.046	7.26925399048696e-05
Mzf1	5.01852804721801e-09	1.02631001270357	0.206	0.025	7.55740138630561e-05
