	Cell_type	Age	HSCScore
plate_092s_B2_S201_L005_R1_001.plate_092s_B2_S201_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.11531759611312904
plate_092s_B3_S209_L005_R1_001.plate_092s_B3_S209_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.29985461008282244
plate_092s_B4_S217_L005_R1_001.plate_092s_B4_S217_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.28959925859985886
plate_092s_B5_S225_L005_R1_001.plate_092s_B5_S225_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.3633695219046222
plate_092s_B6_S233_L005_R1_001.plate_092s_B6_S233_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.2489135195036044
plate_092s_B11_S273_L005_R1_001.plate_092s_B11_S273_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.34678593017823145
plate_092s_B12_S281_L005_R1_001.plate_092s_B12_S281_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.3316457374969144
plate_092s_B13_S289_L005_R1_001.plate_092s_B13_S289_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4152093395587065
plate_092s_B14_S297_L005_R1_001.plate_092s_B14_S297_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.3576066120577997
plate_092s_B15_S305_L005_R1_001.plate_092s_B15_S305_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.317834044036978
plate_092s_B16_S313_L005_R1_001.plate_092s_B16_S313_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.381482750752033
plate_092s_B21_S353_L005_R1_001.plate_092s_B21_S353_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.027689803772396257
plate_092s_B23_S369_L005_R1_001.plate_092s_B23_S369_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	-0.0030039159398017184
plate_092s_C1_S2_L005_R1_001.plate_092s_C1_S2_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.5297575062176362
plate_092s_C2_S10_L005_R1_001.plate_092s_C2_S10_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.409806782987076
plate_092s_C3_S18_L005_R1_001.plate_092s_C3_S18_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.22770042608870167
plate_092s_C4_S26_L005_R1_001.plate_092s_C4_S26_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.2833225080457274
plate_092s_C5_S34_L005_R1_001.plate_092s_C5_S34_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.5109883140081143
plate_092s_C6_S42_L005_R1_001.plate_092s_C6_S42_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.21301671478916917
plate_092s_C11_S82_L005_R1_001.plate_092s_C11_S82_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4560797018877229
plate_092s_C12_S90_L005_R1_001.plate_092s_C12_S90_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.3952038044243314
plate_092s_C13_S98_L005_R1_001.plate_092s_C13_S98_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.5235130368294908
plate_092s_C14_S106_L005_R1_001.plate_092s_C14_S106_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.2266013217679934
plate_092s_C15_S114_L005_R1_001.plate_092s_C15_S114_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.32898716027836356
plate_092s_C16_S122_L005_R1_001.plate_092s_C16_S122_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.42292321275526806
plate_092s_C21_S162_L005_R1_001.plate_092s_C21_S162_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.02075144817082715
plate_092s_C23_S178_L005_R1_001.plate_092s_C23_S178_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.07937053660412217
plate_092s_D1_S194_L005_R1_001.plate_092s_D1_S194_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4841895729885463
plate_092s_D2_S202_L005_R1_001.plate_092s_D2_S202_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.36720959306896284
plate_092s_D3_S210_L005_R1_001.plate_092s_D3_S210_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.30826897790769087
plate_092s_D4_S218_L005_R1_001.plate_092s_D4_S218_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.5295431308447446
plate_092s_D5_S226_L005_R1_001.plate_092s_D5_S226_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.15102837805779318
plate_092s_D6_S234_L005_R1_001.plate_092s_D6_S234_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.2390065846687945
plate_092s_D11_S274_L005_R1_001.plate_092s_D11_S274_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.2517289336049369
plate_092s_D12_S282_L005_R1_001.plate_092s_D12_S282_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4545799378405237
plate_092s_D13_S290_L005_R1_001.plate_092s_D13_S290_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.2742677783113138
plate_092s_D14_S298_L005_R1_001.plate_092s_D14_S298_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.3524887160598485
plate_092s_D15_S306_L005_R1_001.plate_092s_D15_S306_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.4738857403386238
plate_092s_D16_S314_L005_R1_001.plate_092s_D16_S314_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.2983376812754643
plate_092s_D21_S354_L005_R1_001.plate_092s_D21_S354_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.005149377329798213
plate_092s_D23_S370_L005_R1_001.plate_092s_D23_S370_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.06302501339166332
plate_092s_E1_S3_L005_R1_001.plate_092s_E1_S3_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.5186430254791912
plate_092s_E2_S11_L005_R1_001.plate_092s_E2_S11_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4632653786603739
plate_092s_E3_S19_L005_R1_001.plate_092s_E3_S19_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.32900143664305814
plate_092s_E4_S27_L005_R1_001.plate_092s_E4_S27_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.2528453637687697
plate_092s_E5_S35_L005_R1_001.plate_092s_E5_S35_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.32052229741027727
plate_092s_E6_S43_L005_R1_001.plate_092s_E6_S43_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.227324240891021
plate_092s_E11_S83_L005_R1_001.plate_092s_E11_S83_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.2947098492360944
plate_092s_E12_S91_L005_R1_001.plate_092s_E12_S91_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4687685954733159
plate_092s_E13_S99_L005_R1_001.plate_092s_E13_S99_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.3386313436799226
plate_092s_E14_S107_L005_R1_001.plate_092s_E14_S107_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.04646109056333374
plate_092s_E15_S115_L005_R1_001.plate_092s_E15_S115_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.42636283020574356
plate_092s_E16_S123_L005_R1_001.plate_092s_E16_S123_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.12932640309986404
plate_092s_E21_S163_L005_R1_001.plate_092s_E21_S163_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.09044540833592936
plate_092s_E23_S179_L005_R1_001.plate_092s_E23_S179_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	-0.004257097762607062
plate_092s_F1_S195_L005_R1_001.plate_092s_F1_S195_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.28632702629698503
plate_092s_F2_S203_L005_R1_001.plate_092s_F2_S203_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.27404092289433085
plate_092s_F3_S211_L005_R1_001.plate_092s_F3_S211_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.5391261045234055
plate_092s_F4_S219_L005_R1_001.plate_092s_F4_S219_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.28525510395837866
plate_092s_F5_S227_L005_R1_001.plate_092s_F5_S227_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.2774971263406932
plate_092s_F6_S235_L005_R1_001.plate_092s_F6_S235_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.3104875838740099
plate_092s_F11_S275_L005_R1_001.plate_092s_F11_S275_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.31134729665682
plate_092s_F12_S283_L005_R1_001.plate_092s_F12_S283_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.5164856008695327
plate_092s_F13_S291_L005_R1_001.plate_092s_F13_S291_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.23256301018229592
plate_092s_F14_S299_L005_R1_001.plate_092s_F14_S299_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.3967590378161122
plate_092s_F15_S307_L005_R1_001.plate_092s_F15_S307_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.4471655747301367
plate_092s_F16_S315_L005_R1_001.plate_092s_F16_S315_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.45811218976046736
plate_092s_F21_S355_L005_R1_001.plate_092s_F21_S355_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.15764005686865673
plate_092s_F23_S371_L005_R1_001.plate_092s_F23_S371_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.05860709664047374
plate_092s_G1_S4_L005_R1_001.plate_092s_G1_S4_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4361698890301419
plate_092s_G2_S12_L005_R1_001.plate_092s_G2_S12_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.46842629507776573
plate_092s_G3_S20_L005_R1_001.plate_092s_G3_S20_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4606428592566257
plate_092s_G4_S28_L005_R1_001.plate_092s_G4_S28_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.3667391086923525
plate_092s_G5_S36_L005_R1_001.plate_092s_G5_S36_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.4896633525633339
plate_092s_G6_S44_L005_R1_001.plate_092s_G6_S44_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.27163127938544823
plate_092s_G11_S84_L005_R1_001.plate_092s_G11_S84_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.30028531429454597
plate_092s_G12_S92_L005_R1_001.plate_092s_G12_S92_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4716357978263616
plate_092s_G13_S100_L005_R1_001.plate_092s_G13_S100_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4718197107445466
plate_092s_G14_S108_L005_R1_001.plate_092s_G14_S108_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.3034918015755766
plate_092s_G15_S116_L005_R1_001.plate_092s_G15_S116_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.4829006314046029
plate_092s_G16_S124_L005_R1_001.plate_092s_G16_S124_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.4868971670585864
plate_092s_G21_S164_L005_R1_001.plate_092s_G21_S164_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.010920811805511674
plate_092s_G23_S180_L005_R1_001.plate_092s_G23_S180_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.004431386688448086
plate_092s_H1_S196_L005_R1_001.plate_092s_H1_S196_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.47669030636772053
plate_092s_H2_S204_L005_R1_001.plate_092s_H2_S204_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.33629207805734357
plate_092s_H3_S212_L005_R1_001.plate_092s_H3_S212_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.3980836134480699
plate_092s_H4_S220_L005_R1_001.plate_092s_H4_S220_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.39029021904558275
plate_092s_H5_S228_L005_R1_001.plate_092s_H5_S228_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.48175454327015904
plate_092s_H6_S236_L005_R1_001.plate_092s_H6_S236_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.5407143366628397
plate_092s_H11_S276_L005_R1_001.plate_092s_H11_S276_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.35811957571218733
plate_092s_H12_S284_L005_R1_001.plate_092s_H12_S284_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.5376390675756539
plate_092s_H13_S292_L005_R1_001.plate_092s_H13_S292_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.5035118836469376
plate_092s_H14_S300_L005_R1_001.plate_092s_H14_S300_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.4853687285762273
plate_092s_H15_S308_L005_R1_001.plate_092s_H15_S308_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.2226046374477676
plate_092s_H16_S316_L005_R1_001.plate_092s_H16_S316_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.3533756198463404
plate_092s_H21_S356_L005_R1_001.plate_092s_H21_S356_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.009779169171332772
plate_092s_H23_S372_L005_R1_001.plate_092s_H23_S372_L005_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Old	0.11022688428256198
plate_092s_I1_S5_L005_R1_001.plate_092s_I1_S5_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4536299654131854
plate_092s_I2_S13_L005_R1_001.plate_092s_I2_S13_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.3971470067837857
plate_092s_I3_S21_L005_R1_001.plate_092s_I3_S21_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.484004671037131
plate_092s_I4_S29_L005_R1_001.plate_092s_I4_S29_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.2680322517735065
plate_092s_I5_S37_L005_R1_001.plate_092s_I5_S37_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.2804238892402201
plate_092s_I6_S45_L005_R1_001.plate_092s_I6_S45_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.3867793618427514
plate_092s_I11_S85_L005_R1_001.plate_092s_I11_S85_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.29610449177244774
plate_092s_I12_S93_L005_R1_001.plate_092s_I12_S93_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.532878119440097
plate_092s_I13_S101_L005_R1_001.plate_092s_I13_S101_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4649434412765621
plate_092s_I14_S109_L005_R1_001.plate_092s_I14_S109_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.36518491364184086
plate_092s_I15_S117_L005_R1_001.plate_092s_I15_S117_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.3557948417257174
plate_092s_I16_S125_L005_R1_001.plate_092s_I16_S125_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.12677269186381923
plate_092s_I22_S173_L005_R1_001.plate_092s_I22_S173_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old	0.0010148082815188558
plate_092s_I24_S189_L005_R1_001.plate_092s_I24_S189_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old	-0.006293969965051813
plate_092s_J1_S197_L005_R1_001.plate_092s_J1_S197_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.28561909700809723
plate_092s_J2_S205_L005_R1_001.plate_092s_J2_S205_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4563060151288551
plate_092s_J3_S213_L005_R1_001.plate_092s_J3_S213_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4404271941610401
plate_092s_J4_S221_L005_R1_001.plate_092s_J4_S221_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.46049312992917585
plate_092s_J5_S229_L005_R1_001.plate_092s_J5_S229_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.37535150043877824
plate_092s_J6_S237_L005_R1_001.plate_092s_J6_S237_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.501815272970061
plate_092s_J11_S277_L005_R1_001.plate_092s_J11_S277_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.43913892108938074
plate_092s_J12_S285_L005_R1_001.plate_092s_J12_S285_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.44225597303045155
plate_092s_J13_S293_L005_R1_001.plate_092s_J13_S293_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.47515629504989193
plate_092s_J14_S301_L005_R1_001.plate_092s_J14_S301_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.36602479627083767
plate_092s_J15_S309_L005_R1_001.plate_092s_J15_S309_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.41342183669653404
plate_092s_J16_S317_L005_R1_001.plate_092s_J16_S317_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.48088699698381515
plate_092s_J24_S381_L005_R1_001.plate_092s_J24_S381_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old	-0.006201327429939743
plate_092s_K2_S14_L005_R1_001.plate_092s_K2_S14_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.45220468090195304
plate_092s_K3_S22_L005_R1_001.plate_092s_K3_S22_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4231656077618376
plate_092s_K4_S30_L005_R1_001.plate_092s_K4_S30_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.25187038305024534
plate_092s_K5_S38_L005_R1_001.plate_092s_K5_S38_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.006794290051929344
plate_092s_K6_S46_L005_R1_001.plate_092s_K6_S46_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.36320084416923964
plate_092s_K11_S86_L005_R1_001.plate_092s_K11_S86_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.2538227318990802
plate_092s_K12_S94_L005_R1_001.plate_092s_K12_S94_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.42887265722597306
plate_092s_K13_S102_L005_R1_001.plate_092s_K13_S102_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.44190857555619095
plate_092s_K14_S110_L005_R1_001.plate_092s_K14_S110_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.346490598075785
plate_092s_K15_S118_L005_R1_001.plate_092s_K15_S118_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.44786274617281535
plate_092s_K16_S126_L005_R1_001.plate_092s_K16_S126_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.4864951063305322
plate_092s_K22_S174_L005_R1_001.plate_092s_K22_S174_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old	0.0020706379571247685
plate_092s_K24_S190_L005_R1_001.plate_092s_K24_S190_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old	-0.006329944762042891
plate_092s_L1_S198_L005_R1_001.plate_092s_L1_S198_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4154205528120029
plate_092s_L2_S206_L005_R1_001.plate_092s_L2_S206_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.381122308866454
plate_092s_L3_S214_L005_R1_001.plate_092s_L3_S214_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4973223020064172
plate_092s_L4_S222_L005_R1_001.plate_092s_L4_S222_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.30012555312112976
plate_092s_L5_S230_L005_R1_001.plate_092s_L5_S230_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.4350443353836741
plate_092s_L6_S238_L005_R1_001.plate_092s_L6_S238_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.22445233382066349
plate_092s_L11_S278_L005_R1_001.plate_092s_L11_S278_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.5147146171151201
plate_092s_L12_S286_L005_R1_001.plate_092s_L12_S286_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4667338962316068
plate_092s_L13_S294_L005_R1_001.plate_092s_L13_S294_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.5591800512481394
plate_092s_L14_S302_L005_R1_001.plate_092s_L14_S302_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.44554793055061376
plate_092s_L15_S310_L005_R1_001.plate_092s_L15_S310_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.4638501800040345
plate_092s_L16_S318_L005_R1_001.plate_092s_L16_S318_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.2973067157096165
plate_092s_L22_S366_L005_R1_001.plate_092s_L22_S366_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old	0.003197683160121381
plate_092s_L24_S382_L005_R1_001.plate_092s_L24_S382_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old	-0.006280666502249482
plate_092s_M1_S7_L005_R1_001.plate_092s_M1_S7_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4506518592221717
plate_092s_M2_S15_L005_R1_001.plate_092s_M2_S15_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4936467732546758
plate_092s_M3_S23_L005_R1_001.plate_092s_M3_S23_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4489996817883159
plate_092s_M4_S31_L005_R1_001.plate_092s_M4_S31_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.3703117605067376
plate_092s_M5_S39_L005_R1_001.plate_092s_M5_S39_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.30497698400657103
plate_092s_M6_S47_L005_R1_001.plate_092s_M6_S47_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.22572853094161055
plate_092s_M11_S87_L005_R1_001.plate_092s_M11_S87_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4487069204815077
plate_092s_M12_S95_L005_R1_001.plate_092s_M12_S95_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.14397563205255454
plate_092s_M13_S103_L005_R1_001.plate_092s_M13_S103_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.2848599238429702
plate_092s_M14_S111_L005_R1_001.plate_092s_M14_S111_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.5001819581713027
plate_092s_M15_S119_L005_R1_001.plate_092s_M15_S119_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	-0.0012068015711076546
plate_092s_M16_S127_L005_R1_001.plate_092s_M16_S127_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.41924457848273405
plate_092s_M22_S175_L005_R1_001.plate_092s_M22_S175_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old	-0.0007802874529770354
plate_092s_M24_S191_L005_R1_001.plate_092s_M24_S191_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old	-0.007502442856317154
plate_092s_N1_S199_L005_R1_001.plate_092s_N1_S199_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.3802757216960636
plate_092s_N2_S207_L005_R1_001.plate_092s_N2_S207_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.3919044024799771
plate_092s_N3_S215_L005_R1_001.plate_092s_N3_S215_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.482807745475817
plate_092s_N4_S223_L005_R1_001.plate_092s_N4_S223_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.25385674198908165
plate_092s_N5_S231_L005_R1_001.plate_092s_N5_S231_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.2623605364839428
plate_092s_N11_S279_L005_R1_001.plate_092s_N11_S279_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.4700059664985586
plate_092s_N12_S287_L005_R1_001.plate_092s_N12_S287_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.45558190551126804
plate_092s_N13_S295_L005_R1_001.plate_092s_N13_S295_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.5421749249397932
plate_092s_N14_S303_L005_R1_001.plate_092s_N14_S303_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Old	0.41519050300572674
plate_092s_N22_S367_L005_R1_001.plate_092s_N22_S367_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old	0.0029531076853603067
plate_092s_N24_S383_L005_R1_001.plate_092s_N24_S383_L005_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Old	-0.005445316638533107
plate_092s_O1_S8_L005_R1_001.plate_092s_O1_S8_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.30376835760000376
plate_092s_O2_S16_L005_R1_001.plate_092s_O2_S16_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.33405601934360846
plate_092s_O3_S24_L005_R1_001.plate_092s_O3_S24_L005_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Old	0.37808587345261285
