	Cell_type	Age	HSCScore
X2020_246s_N20_S351_L002_R1_001.2020_246s_N20_S351_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.49259738140454373
X2020_246s_N24_S383_L002_R1_001.2020_246s_N24_S383_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.02815270089667922
X2020_246s_O1_S8_L002_R1_001.2020_246s_O1_S8_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5137004868390862
X2020_246s_O5_S40_L002_R1_001.2020_246s_O5_S40_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.015955955841118544
X2020_246s_O6_S48_L002_R1_001.2020_246s_O6_S48_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.009277327767258106
X2020_246s_O11_S88_L002_R1_001.2020_246s_O11_S88_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	-0.00014711275853333816
X2020_246s_O13_S104_L002_R1_001.2020_246s_O13_S104_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5477380754775812
X2020_246s_O14_S112_L002_R1_001.2020_246s_O14_S112_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.016589836233536645
X2020_246s_O17_S136_L002_R1_001.2020_246s_O17_S136_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.023736515563031677
X2020_246s_O18_S144_L002_R1_001.2020_246s_O18_S144_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.03690022747858131
X2020_246s_O19_S152_L002_R1_001.2020_246s_O19_S152_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.484066078496646
X2020_246s_O23_S184_L002_R1_001.2020_246s_O23_S184_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.013231645580834436
X2020_246s_O24_S192_L002_R1_001.2020_246s_O24_S192_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.005362484562601258
X2020_246s_P1_S200_L002_R1_001.2020_246s_P1_S200_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4892079283767025
X2020_246s_P5_S232_L002_R1_001.2020_246s_P5_S232_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.1372401180690871
X2020_246s_P6_S240_L002_R1_001.2020_246s_P6_S240_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.001140357383143234
X2020_246s_P7_S248_L002_R1_001.2020_246s_P7_S248_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.5446778750080697
X2020_246s_P11_S280_L002_R1_001.2020_246s_P11_S280_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.04162719493715315
X2020_246s_P12_S288_L002_R1_001.2020_246s_P12_S288_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.030712248555568825
X2020_246s_P13_S296_L002_R1_001.2020_246s_P13_S296_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.44970784984760587
X2020_246s_P14_S304_L002_R1_001.2020_246s_P14_S304_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.5391995573485403
X2020_246s_P17_S328_L002_R1_001.2020_246s_P17_S328_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.12371406140874984
X2020_246s_P18_S336_L002_R1_001.2020_246s_P18_S336_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.009688691650844905
X2020_246s_P19_S344_L002_R1_001.2020_246s_P19_S344_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.33821681194320913
X2020_246s_P20_S352_L002_R1_001.2020_246s_P20_S352_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.35712169355686796
plate_21_090s_A05.plate_21_090s_A05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.49034529969878354
plate_21_090s_A06.plate_21_090s_A06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.23857312486430382
plate_21_090s_A09.plate_21_090s_A09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3471542211384468
plate_21_090s_A10.plate_21_090s_A10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2917506322593197
plate_21_090s_A13.plate_21_090s_A13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3622169716133799
plate_21_090s_A15.plate_21_090s_A15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.36459201669174074
plate_21_090s_A16.plate_21_090s_A16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3036761159531594
plate_21_090s_A17.plate_21_090s_A17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.41629091904503895
plate_21_090s_A19.plate_21_090s_A19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.020362250561302295
plate_21_090s_A20.plate_21_090s_A20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.012712827155603179
plate_21_090s_A23.plate_21_090s_A23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.02241728669480296
plate_21_090s_B02.plate_21_090s_B02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.20467873783364332
plate_21_090s_B05.plate_21_090s_B05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.21363562293359728
plate_21_090s_B06.plate_21_090s_B06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2748994301033388
plate_21_090s_B09.plate_21_090s_B09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.33966308295895725
plate_21_090s_B10.plate_21_090s_B10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2821548281275005
plate_21_090s_B13.plate_21_090s_B13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4982188935897935
plate_21_090s_B15.plate_21_090s_B15_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.496261312831405
plate_21_090s_B16.plate_21_090s_B16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.24897640293264933
plate_21_090s_B23.plate_21_090s_B23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.07402695108636513
plate_21_090s_C05.plate_21_090s_C05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.19266113665489354
plate_21_090s_C06.plate_21_090s_C06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.48204092023374473
plate_21_090s_C10.plate_21_090s_C10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2823584405116782
plate_21_090s_C14.plate_21_090s_C14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.11133561485314362
plate_21_090s_C16.plate_21_090s_C16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.15705583503808374
plate_21_090s_C17.plate_21_090s_C17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.43481231169955886
plate_21_090s_C19.plate_21_090s_C19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	-0.005355029931552749
plate_21_090s_C20.plate_21_090s_C20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.004977633760986658
plate_21_090s_C23.plate_21_090s_C23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.018340099887298247
plate_21_090s_D05.plate_21_090s_D05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.24302596317434055
plate_21_090s_D06.plate_21_090s_D06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3596048530591504
plate_21_090s_D09.plate_21_090s_D09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3587995325831666
plate_21_090s_D10.plate_21_090s_D10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.13192120996042833
plate_21_090s_D13.plate_21_090s_D13_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.25592983434459776
plate_21_090s_D14.plate_21_090s_D14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.11809313776537796
plate_21_090s_D17.plate_21_090s_D17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.369976543862399
plate_21_090s_D23.plate_21_090s_D23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.006708338534210087
plate_21_090s_E05.plate_21_090s_E05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3862048725951221
plate_21_090s_E06.plate_21_090s_E06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.18451756155564009
plate_21_090s_E09.plate_21_090s_E09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.34133649322148696
plate_21_090s_E10.plate_21_090s_E10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.23626930232534554
plate_21_090s_E14.plate_21_090s_E14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.16587392855068772
plate_21_090s_E17.plate_21_090s_E17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4262875176919119
plate_21_090s_E18.plate_21_090s_E18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.19226235156964006
plate_21_090s_E20.plate_21_090s_E20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.005929025820408607
plate_21_090s_E23.plate_21_090s_E23_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.06197428609684093
plate_21_090s_F06.plate_21_090s_F06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.4979272122761241
plate_21_090s_F09.plate_21_090s_F09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.18430211459104356
plate_21_090s_F14.plate_21_090s_F14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.12595250415027137
plate_21_090s_F16.plate_21_090s_F16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.32272865322222166
plate_21_090s_F17.plate_21_090s_F17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2618850767067316
plate_21_090s_F19.plate_21_090s_F19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.030270795937768977
plate_21_090s_F20.plate_21_090s_F20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.004100864128822365
plate_21_090s_G05.plate_21_090s_G05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3466609314168079
plate_21_090s_G06.plate_21_090s_G06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.40889336447721364
plate_21_090s_G09.plate_21_090s_G09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.26924695018199946
plate_21_090s_G10.plate_21_090s_G10_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3058091055302961
plate_21_090s_G14.plate_21_090s_G14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.31201231854259487
plate_21_090s_G16.plate_21_090s_G16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.13239263907329202
plate_21_090s_G17.plate_21_090s_G17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.41353981042693916
plate_21_090s_G18.plate_21_090s_G18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.24148517090314203
plate_21_090s_G19.plate_21_090s_G19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.1077806130445008
plate_21_090s_G20.plate_21_090s_G20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.00410880466487705
plate_21_090s_H05.plate_21_090s_H05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2040252749785188
plate_21_090s_H06.plate_21_090s_H06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2243795251449866
plate_21_090s_H09.plate_21_090s_H09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.44772718662368244
plate_21_090s_H14.plate_21_090s_H14_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.1886367613362408
plate_21_090s_H16.plate_21_090s_H16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.3713338360406608
plate_21_090s_H17.plate_21_090s_H17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2927008765249532
plate_21_090s_H18.plate_21_090s_H18_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.13416208452841333
plate_21_090s_H19.plate_21_090s_H19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.02807164034902125
plate_21_090s_H20.plate_21_090s_H20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.004575637660626797
plate_21_090s_I05.plate_21_090s_I05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3666522501881551
plate_21_090s_I06.plate_21_090s_I06_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2990959739576788
plate_21_090s_I09.plate_21_090s_I09_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.4018446587705457
plate_21_090s_I16.plate_21_090s_I16_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.24737927867052584
plate_21_090s_I17.plate_21_090s_I17_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.2798916517091828
plate_21_090s_I19.plate_21_090s_I19_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.052284856795564424
plate_21_090s_I20.plate_21_090s_I20_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.004945392350221595
plate_21_090s_J02.plate_21_090s_J02_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.31882539134420185
plate_21_090s_J05.plate_21_090s_J05_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.379925222844414
