C1_cluster_Rodriguez;C2_cluster_Rodriguez;C3_cluster_Rodriguez;Mk_cluster_Rodriguez;Er_cluster_Rodriguez;Ba_cluster_Rodriguez;Neu_cluster_Rodriguez;Mo1_cluster_Rodriguez;Mo2_cluster_Rodriguez;preDC_cluster_Rodriguez;preB_cluster_Rodriguez;preT_cluster_Rodriguez;Mye_Chambers;NK_Chambers;NaiveT_Chambers;Ner_Chambers;Mm_HSC_Runx1_Wu;Mm_HSC_Tcf7_Wu;Mm_HSC_Ivanova;Mm_HSC_Ramalho;HSC_Explorer;Mm_LT_HSC_Venezia;Mm_Proliferation_Venezia;Mm_Quiescence_Venezia;Mm_Adult_HSC_UP_Venezia;Polarity_factors_Ting;Novel_HSC_regul_polar_Ting;Svendsen;MGA_MEP
;;;;;;;;;;;;;;;;;;Tmem176b;Mrps18a;;;0710008D09Rik;Arf6;Ssa2;;;;
;;;;;;;;;;;;;;;;;;Tmem177;Mrps31;;;Mad2l1;BC023040;2700007P21Rik;;;;
;;;;;;;;;;;;;;;;;;Tmem218;Mrps7;;;2610209M04Rik;Igh-VJ558;Sos2;;;;
;;;;;;;;;;;;;;;;;;Tmem37;Msh2;;;1810012E07Rik;Pde6a;Smarca3;;;;
;;;;;;;;;;;;;;;;;;Tmem98;Msl2l1;;;Il17r;Ccl27;Hivep2;;;;
;;;;;;;;;;;;;;;;;;Tmsb10;Msx3;;;;Sh2bpsm1;D4Wsu53e;;;;
;;;;;;;;;;;;;;;;;;Tnfaip8l1;Mtap7;;;;Rassf5;Nfe2l2;;;;
;;;;;;;;;;;;;;;;;;Tnfrsf4;Mterfd1;;;;Igf1r;Tfb2m;;;;
;;;;;;;;;;;;;;;;;;Tnfrsf8;Mtf1;;;;Bckdhb;Ppp2ca;;;;
;;;;;;;;;;;;;;;;;;Tor3a;Mtmr1;;;;Kcnk1;Tgfbi;;;;
;;;;;;;;;;;;;;;;;;Tppp3;Muc1;;;;Zfp385;Styx;;;;
;;;;;;;;;;;;;;;;;;Trafd1;Muc13;;;;Gata2;Cebpb;;;;
;;;;;;;;;;;;;;;;;;Trappc3;Mug1;;;;Tap2;5730497N03Rik;;;;
;;;;;;;;;;;;;;;;;;Trappc4;Mvk;;;;Nr2f2;5730497N03Rik;;;;
;;;;;;;;;;;;;;;;;;Trim13;Mvp;;;;Relb;Mgst1;;;;
;;;;;;;;;;;;;;;;;;Trim28;Mxi1;;;;Ring1;Bnip2;;;;
;;;;;;;;;;;;;;;;;;Trim3;Mybbp1a;;;;Slc41a1;Btg1;;;;
;;;;;;;;;;;;;;;;;;Trim32;Myc;;;;Hoxb5;Adrb2;;;;
;;;;;;;;;;;;;;;;;;Trp53i11;Mycn;;;;D730048C23Rik;Clk;;;;
;;;;;;;;;;;;;;;;;;Trpc4;Myd116;;;;Mvp;Clk3;;;;
;;;;;;;;;;;;;;;;;;Tspan1;Mylc2b;;;;Reg3a;Map2k3;;;;
;;;;;;;;;;;;;;;;;;Tspan6;Myom1;;;;Trfr;Abcb1b;;;;
;;;;;;;;;;;;;;;;;;Ttll9;N4bp1;;;;Cdh5;4930564D15Rik;;;;
;;;;;;;;;;;;;;;;;;Ttpa;N6amt2;;;;P4ha1;Akap9;;;;
;;;;;;;;;;;;;;;;;;Tubb6;Nab1;;;;4930578F06Rik;Slc4a7;;;;
;;;;;;;;;;;;;;;;;;Twist2;Nab2;;;;Smt3ip1;Srrm1;;;;
;;;;;;;;;;;;;;;;;;Twistnb;Naga;;;;Eya2;Litaf;;;;
;;;;;;;;;;;;;;;;;;Txnl1;Naif1;;;;Hdac5;Mef2a;;;;
;;;;;;;;;;;;;;;;;;Uba1;Nap1l4;;;;Zfp30;Il1r1;;;;
;;;;;;;;;;;;;;;;;;Ube2q1;Ncdn;;;;Klf7;AI661017;;;;
;;;;;;;;;;;;;;;;;;Ube2ql1;Nckap1;;;;1110019C08Rik;Ddx6;;;;
;;;;;;;;;;;;;;;;;;Umps;Ncor2;;;;Fem1a;1300002F13Rik;;;;
;;;;;;;;;;;;;;;;;;Upp1;Ndn;;;;2400010D15Rik;AW558171;;;;
;;;;;;;;;;;;;;;;;;Urm1;Ndnl2;;;;Myd116;Ubl3;;;;
;;;;;;;;;;;;;;;;;;Usp28;Ndrg1;;;;Ldb1;Gdap10;;;;
;;;;;;;;;;;;;;;;;;Vamp1;Ndrg2;;;;Adamts1;Clic4;;;;
;;;;;;;;;;;;;;;;;;Vamp2;Ndst2;;;;Tacstd2;Raf1;;;;
;;;;;;;;;;;;;;;;;;Vav2;Ndufa3;;;;5730555F13Rik;Rab18;;;;
;;;;;;;;;;;;;;;;;;Vegfb;Ndufa5;;;;2410002F23Rik;Stat6;;;;
;;;;;;;;;;;;;;;;;;Vstm5;Ndufa6;;;;D1Ucla4;Wdr13;;;;
;;;;;;;;;;;;;;;;;;Wdr18;Ndufa7;;;;9530090G24Rik;6230421P05Rik;;;;
;;;;;;;;;;;;;;;;;;Wnt10a;Ndufaf1;;;;Ppan;Osbpl11;;;;
;;;;;;;;;;;;;;;;;;Wnt11;Ndufb2;;;;B4galt3;Clcn3;;;;
;;;;;;;;;;;;;;;;;;Xrcc1;Ndufb8;;;;D12Ertd7e;Clcn3;;;;
;;;;;;;;;;;;;;;;;;Ylpm1;Ndufb9;;;;1700012P16Rik;Csnk2a2;;;;
;;;;;;;;;;;;;;;;;;Ythdf1;Ndufv2;;;;Ing4;C79248;;;;
;;;;;;;;;;;;;;;;;;Ywhaz;Necap1;;;;Tie1;Zfp288;;;;
;;;;;;;;;;;;;;;;;;Zan;Nedd4;;;;Pdlim1;Tsg101;;;;
;;;;;;;;;;;;;;;;;;Zbtb10;Nek6;;;;Lrpb7;Ogt;;;;
;;;;;;;;;;;;;;;;;;Zc3h15;Nelf;;;;1110038D17Rik;BC005537;;;;
;;;;;;;;;;;;;;;;;;Zdhhc16;Nfatc2;;;;Fln29;0610010C24Rik;;;;
;;;;;;;;;;;;;;;;;;Zfand2a;Nfe2;;;;6330407G04Rik;Rhoip3;;;;
;;;;;;;;;;;;;;;;;;Zfp1;Nfe2l1;;;;Ilvbl;Tnfrsf1b;;;;
;;;;;;;;;;;;;;;;;;Zfp180;Nfkb1;;;;BC012974;Cd53;;;;
;;;;;;;;;;;;;;;;;;Zfp260;Nfkb2;;;;Antxr2;Dusp11;;;;
;;;;;;;;;;;;;;;;;;Zfp275;Nfkbiz;;;;2900008M13Rik;BC023957;;;;
;;;;;;;;;;;;;;;;;;Zfp354a;Nfya;;;;Nr4a2;Ppp3ca;;;;
;;;;;;;;;;;;;;;;;;Zfp385a;Nfyc;;;;Usp2;1110038D17Rik;;;;
;;;;;;;;;;;;;;;;;;Zfp40;Ng23;;;;Pde1b;Tm4sf13;;;;
;;;;;;;;;;;;;;;;;;Zfp422;Ngdn;;;;Irf5;4930579A11Rik;;;;
;;;;;;;;;;;;;;;;;;Zfp467;Nicn1;;;;AI462446;Fliih;;;;
;;;;;;;;;;;;;;;;;;Zfp830;Ninj1;;;;2700059D21Rik;Itga6;;;;
;;;;;;;;;;;;;;;;;;Zfp92;Nipsnap1;;;;Hspa1a;Zfp68;;;;
;;;;;;;;;;;;;;;;;;Zfp958;Nisch;;;;Gltscr2;Gtpat12;;;;
;;;;;;;;;;;;;;;;;;Zkscan1;Nit1;;;;Myo1h;BC018601;;;;
;;;;;;;;;;;;;;;;;;Znf580;Nkiras1;;;;Ccl4;P2rx4;;;;
;;;;;;;;;;;;;;;;;;Zscan21;Nkx2-9;;;;Psmd11;5830411E10Rik;;;;
;;;;;;;;;;;;;;;;;;;Nkx6-2;;;;AL022610;Degs;;;;
;;;;;;;;;;;;;;;;;;;Nme1;;;;Akap8;Zfp91;;;;
;;;;;;;;;;;;;;;;;;;Nol5;;;;D17Wsu92e;Arih2;;;;
;;;;;;;;;;;;;;;;;;;Nol5a;;;;Slc22a17;2410141K03Rik;;;;
;;;;;;;;;;;;;;;;;;;Nola3;;;;Nrp;Sp3;;;;
;;;;;;;;;;;;;;;;;;;Notch1;;;;Jmjd1;Nsccn1;;;;
;;;;;;;;;;;;;;;;;;;Nphp1;;;;Siat4c;Vldlr;;;;
;;;;;;;;;;;;;;;;;;;Npl;;;;D6Ertd32e;Nfatc2ip;;;;
;;;;;;;;;;;;;;;;;;;Nr2c1;;;;Cdc2l2;0610043B10Rik;;;;
;;;;;;;;;;;;;;;;;;;Nr4a1;;;;BC042396;Eprs;;;;
;;;;;;;;;;;;;;;;;;;Nr4a2;;;;Stx5a;Cic;;;;
;;;;;;;;;;;;;;;;;;;Nrap;;;;Ndr2;Adam9;;;;
;;;;;;;;;;;;;;;;;;;Nrgn;;;;Mafg;Sf3b1;;;;
;;;;;;;;;;;;;;;;;;;Nrsn1;;;;1810031K02Rik;Lpin2;;;;
;;;;;;;;;;;;;;;;;;;Nrtn;;;;D11Bwg0434e;DXImx46e;;;;
;;;;;;;;;;;;;;;;;;;Nsmaf;;;;Tbc1d1;D6Ertd772e;;;;
;;;;;;;;;;;;;;;;;;;Nsmce4a;;;;2400003C14Rik;Snap23;;;;
;;;;;;;;;;;;;;;;;;;Nsun4;;;;A530057M15Rik;Atp6v1d;;;;
;;;;;;;;;;;;;;;;;;;Ntan1;;;;D19Wsu162e;Rab33b;;;;
;;;;;;;;;;;;;;;;;;;Nub1;;;;Gnb2;A230108E06;;;;
;;;;;;;;;;;;;;;;;;;Nucb1;;;;LOC56628;1810028B20Rik;;;;
;;;;;;;;;;;;;;;;;;;Nudt9;;;;Pkd1;Ubxdc2;;;;
;;;;;;;;;;;;;;;;;;;Nup35;;;;Prkcabp;1500036F01Rik;;;;
;;;;;;;;;;;;;;;;;;;Nupr1;;;;Rela;Ivns1abp;;;;
;;;;;;;;;;;;;;;;;;;Nxf1;;;;Ubtf;Ubp1;;;;
;;;;;;;;;;;;;;;;;;;Ocel1;;;;Ormdl3;Rrad;;;;
;;;;;;;;;;;;;;;;;;;Odc1;;;;Ptpn14;4930488L10Rik;;;;
;;;;;;;;;;;;;;;;;;;Odz2;;;;Macf1;5430401D19Rik;;;;
;;;;;;;;;;;;;;;;;;;Orc4l;;;;Ppt2;9130022B02Rik;;;;
;;;;;;;;;;;;;;;;;;;Orc5l;;;;H2-Q7;Emp1;;;;
;;;;;;;;;;;;;;;;;;;Osbp;;;;Sts;Snrk;;;;
;;;;;;;;;;;;;;;;;;;Osbpl1a;;;;Fbxo9;2810405F18Rik;;;;
;;;;;;;;;;;;;;;;;;;Otud5;;;;Mpra;1010001H21Rik;;;;
;;;;;;;;;;;;;;;;;;;P2rx4;;;;Nfib;2210402G22Rik;;;;
;;;;;;;;;;;;;;;;;;;P4ha1;;;;Rab7;LOC328110;;;;
;;;;;;;;;;;;;;;;;;;Pafah1b1;;;;Zfp289;Hip1r;;;;
;;;;;;;;;;;;;;;;;;;Pafah1b2;;;;Cdc2l2;Ranbp9;;;;
;;;;;;;;;;;;;;;;;;;Pam;;;;Vdr;Ncoa4;;;;
;;;;;;;;;;;;;;;;;;;Pappa2;;;;Ptpn21;Csnk1e;;;;
;;;;;;;;;;;;;;;;;;;Paqr7;;;;Il17r;Ly64;;;;
;;;;;;;;;;;;;;;;;;;Parn;;;;;Procr;;;;
;;;;;;;;;;;;;;;;;;;Parp2;;;;;Mdm2;;;;
;;;;;;;;;;;;;;;;;;;Pccb;;;;;Npc1;;;;
;;;;;;;;;;;;;;;;;;;Pcgf2;;;;;Foxa3;;;;
;;;;;;;;;;;;;;;;;;;Pck2;;;;;1200014P03Rik;;;;
;;;;;;;;;;;;;;;;;;;Pcm1;;;;;Cyb5;;;;
;;;;;;;;;;;;;;;;;;;Pcp4l1;;;;;Ppm1a;;;;
;;;;;;;;;;;;;;;;;;;Pcsk4;;;;;2810043O03Rik;;;;
;;;;;;;;;;;;;;;;;;;Pcyt2;;;;;Ndel1;;;;
;;;;;;;;;;;;;;;;;;;Pdcd1;;;;;Ndel1;;;;
;;;;;;;;;;;;;;;;;;;Pdcd2;;;;;Vamp2;;;;
;;;;;;;;;;;;;;;;;;;Pdcd6ip;;;;;2610016K11Rik;;;;
;;;;;;;;;;;;;;;;;;;Pde8a;;;;;2310032D16Rik;;;;
;;;;;;;;;;;;;;;;;;;Pdgfa;;;;;Sh3glb1;;;;
;;;;;;;;;;;;;;;;;;;Pdrg1;;;;;D8Ertd325e;;;;
;;;;;;;;;;;;;;;;;;;Pdzk1ip1;;;;;Ddx19;;;;
;;;;;;;;;;;;;;;;;;;Pebp1;;;;;Eno2;;;;
;;;;;;;;;;;;;;;;;;;Peci;;;;;Chuk;;;;
;;;;;;;;;;;;;;;;;;;Peg3;;;;;Stat3;;;;
;;;;;;;;;;;;;;;;;;;Peli1;;;;;Irf3;;;;
;;;;;;;;;;;;;;;;;;;Per1;;;;;Tgoln1;;;;
;;;;;;;;;;;;;;;;;;;Perp;;;;;Csad;;;;
;;;;;;;;;;;;;;;;;;;Pex14;;;;;2010315L10Rik;;;;
;;;;;;;;;;;;;;;;;;;Pex19;;;;;2010315L10Rik;;;;
;;;;;;;;;;;;;;;;;;;Pex7;;;;;Sec63;;;;
;;;;;;;;;;;;;;;;;;;Pftk1;;;;;C030034J04Rik;;;;
;;;;;;;;;;;;;;;;;;;Pgcp;;;;;1110028E10Rik;;;;
;;;;;;;;;;;;;;;;;;;Pgm1;;;;;Rasa1;;;;
;;;;;;;;;;;;;;;;;;;Pgm2;;;;;Osp94;;;;
;;;;;;;;;;;;;;;;;;;Pgrmc1;;;;;9130017A15Rik;;;;
;;;;;;;;;;;;;;;;;;;Pgs1;;;;;Rnf138;;;;
;;;;;;;;;;;;;;;;;;;Phc1;;;;;Ccrn4l;;;;
;;;;;;;;;;;;;;;;;;;Phc2;;;;;Zfp101;;;;
;;;;;;;;;;;;;;;;;;;Phf1;;;;;Txnrd1;;;;
;;;;;;;;;;;;;;;;;;;Phf23;;;;;BC023040;;;;
;;;;;;;;;;;;;;;;;;;Phf7;;;;;Ifngr;;;;
;;;;;;;;;;;;;;;;;;;Phkg2;;;;;Fabp4;;;;
;;;;;;;;;;;;;;;;;;;Phlda1;;;;;Igh-VJ558;;;;
;;;;;;;;;;;;;;;;;;;Phlda2;;;;;Prdx6;;;;
;;;;;;;;;;;;;;;;;;;Pi4k2a;;;;;Gata3;;;;
;;;;;;;;;;;;;;;;;;;Pick1;;;;;Arhb;;;;
;;;;;;;;;;;;;;;;;;;Pigf;;;;;0610038L10Rik;;;;
;;;;;;;;;;;;;;;;;;;Pigx;;;;;6330407G04Rik;;;;
;;;;;;;;;;;;;;;;;;;Pik3r1;;;;;Fnbp4;;;;
;;;;;;;;;;;;;;;;;;;Pik3r2;;;;;Jak2;;;;
;;;;;;;;;;;;;;;;;;;Pin1;;;;;Vasp;;;;
;;;;;;;;;;;;;;;;;;;Pitpnm1;;;;;Sqstm1;;;;
;;;;;;;;;;;;;;;;;;;Pitx2;;;;;Igf1r;;;;
;;;;;;;;;;;;;;;;;;;Pkd2;;;;;Bckdhb;;;;
;;;;;;;;;;;;;;;;;;;Pkia;;;;;Nr4a1;;;;
;;;;;;;;;;;;;;;;;;;Pkp2;;;;;Gata2;;;;
;;;;;;;;;;;;;;;;;;;Pla2g4a;;;;;MGC68300;;;;
;;;;;;;;;;;;;;;;;;;Pla2g6;;;;;Ltb;;;;
;;;;;;;;;;;;;;;;;;;Pld2;;;;;Ell;;;;
;;;;;;;;;;;;;;;;;;;Pld3;;;;;Map3k1;;;;
;;;;;;;;;;;;;;;;;;;Plekho1;;;;;5430432M24Rik;;;;
;;;;;;;;;;;;;;;;;;;Plk2;;;;;Vwf;;;;
;;;;;;;;;;;;;;;;;;;Plscr1;;;;;Orc4l;;;;
;;;;;;;;;;;;;;;;;;;Plunc;;;;;Slc41a1;;;;
;;;;;;;;;;;;;;;;;;;Plxna2;;;;;Usp9x;;;;
;;;;;;;;;;;;;;;;;;;Plxnd1;;;;;Srpk2;;;;
;;;;;;;;;;;;;;;;;;;Pmm2;;;;;Cdh5;;;;
;;;;;;;;;;;;;;;;;;;Pmpcb;;;;;Hdac5;;;;
;;;;;;;;;;;;;;;;;;;Pnkd;;;;;1700017B05Rik;;;;
;;;;;;;;;;;;;;;;;;;Pnpla2;;;;;Ski;;;;
;;;;;;;;;;;;;;;;;;;Pole4;;;;;BC013720;;;;
;;;;;;;;;;;;;;;;;;;Polg;;;;;Klf7;;;;
;;;;;;;;;;;;;;;;;;;Polr2c;;;;;Arhq;;;;
;;;;;;;;;;;;;;;;;;;Polr3d;;;;;1110019C08Rik;;;;
;;;;;;;;;;;;;;;;;;;Por;;;;;Cltc;;;;
;;;;;;;;;;;;;;;;;;;Pou2f2;;;;;1110004P15Rik;;;;
;;;;;;;;;;;;;;;;;;;Pou2f3;;;;;Pparbp;;;;
;;;;;;;;;;;;;;;;;;;Ppa1;;;;;Tacstd2;;;;
;;;;;;;;;;;;;;;;;;;Ppap2a;;;;;2410002F23Rik;;;;
;;;;;;;;;;;;;;;;;;;Ppfibp2;;;;;LOC269796;;;;
;;;;;;;;;;;;;;;;;;;Ppic;;;;;Phlda1;;;;
;;;;;;;;;;;;;;;;;;;Ppox;;;;;Ifld2;;;;
;;;;;;;;;;;;;;;;;;;Ppp1r1a;;;;;Pcyt1a;;;;
;;;;;;;;;;;;;;;;;;;Ppp2r1b;;;;;1700012P16Rik;;;;
;;;;;;;;;;;;;;;;;;;Prkcq;;;;;Lysal2;;;;
;;;;;;;;;;;;;;;;;;;Prkdc;;;;;Tie1;;;;
;;;;;;;;;;;;;;;;;;;Prnp;;;;;2310046H11Rik;;;;
;;;;;;;;;;;;;;;;;;;Procr;;;;;BC012974;;;;
;;;;;;;;;;;;;;;;;;;Prpf38b;;;;;Madh7;;;;
;;;;;;;;;;;;;;;;;;;Prpsap1;;;;;Nr4a2;;;;
;;;;;;;;;;;;;;;;;;;Prr15;;;;;2810410P22Rik;;;;
;;;;;;;;;;;;;;;;;;;Prr6;;;;;Usp2;;;;
;;;;;;;;;;;;;;;;;;;Pscd2;;;;;Sel1h;;;;
;;;;;;;;;;;;;;;;;;;Pscd3;;;;;Hivep1;;;;
;;;;;;;;;;;;;;;;;;;Psmd12;;;;;Ctbp2;;;;
;;;;;;;;;;;;;;;;;;;Psme1;;;;;Vamp4;;;;
;;;;;;;;;;;;;;;;;;;Psmg3;;;;;Per1;;;;
;;;;;;;;;;;;;;;;;;;Ptafr;;;;;Hspa1a;;;;
;;;;;;;;;;;;;;;;;;;Ptcd3;;;;;Myo1h;;;;
;;;;;;;;;;;;;;;;;;;Ptger3;;;;;Clic4;;;;
;;;;;;;;;;;;;;;;;;;Ptger4;;;;;Dnajc3;;;;
;;;;;;;;;;;;;;;;;;;Ptgs1;;;;;Trp53bp1;;;;
;;;;;;;;;;;;;;;;;;;Ptk2b;;;;;Cry1;;;;
;;;;;;;;;;;;;;;;;;;Ptplad1;;;;;Slc38a2;;;;
;;;;;;;;;;;;;;;;;;;Ptpn12;;;;;Skil;;;;
;;;;;;;;;;;;;;;;;;;Ptpn18;;;;;DXImx46e;;;;
;;;;;;;;;;;;;;;;;;;Ptpn2;;;;;4930453N24Rik;;;;
;;;;;;;;;;;;;;;;;;;Ptpn21;;;;;AL022610;;;;
;;;;;;;;;;;;;;;;;;;Ptpn9;;;;;D17Wsu92e;;;;
;;;;;;;;;;;;;;;;;;;Ptprcap;;;;;Jmjd1;;;;
;;;;;;;;;;;;;;;;;;;Ptpre;;;;;1110018O08Rik;;;;
;;;;;;;;;;;;;;;;;;;Ptprk;;;;;Cdkn1c;;;;
;;;;;;;;;;;;;;;;;;;Pttg1;;;;;Arih1;;;;
;;;;;;;;;;;;;;;;;;;Puf60;;;;;2010200I23Rik;;;;
;;;;;;;;;;;;;;;;;;;Pura;;;;;D6Ertd32e;;;;
;;;;;;;;;;;;;;;;;;;Pvt1;;;;;Cdc2l2;;;;
;;;;;;;;;;;;;;;;;;;Pxn;;;;;Stx5a;;;;
;;;;;;;;;;;;;;;;;;;Pycrl;;;;;Ndr2;;;;
;;;;;;;;;;;;;;;;;;;RP23-136K12.4;;;;;Mafg;;;;
;;;;;;;;;;;;;;;;;;;Rab11a;;;;;2400003C14Rik;;;;
;;;;;;;;;;;;;;;;;;;Rab11b;;;;;Zfp144;;;;
;;;;;;;;;;;;;;;;;;;Rab11fip5;;;;;LOC56628;;;;
;;;;;;;;;;;;;;;;;;;Rab18;;;;;Pnrc1;;;;
;;;;;;;;;;;;;;;;;;;Rab4a;;;;;Pkd1;;;;
;;;;;;;;;;;;;;;;;;;Rab6ip1;;;;;H2-D1;;;;
;;;;;;;;;;;;;;;;;;;Rabac1;;;;;Cdipt;;;;
;;;;;;;;;;;;;;;;;;;Rabep1;;;;;Pfkp;;;;
;;;;;;;;;;;;;;;;;;;Rabggtb;;;;;Lmna;;;;
;;;;;;;;;;;;;;;;;;;Rag1ap1;;;;;Ormdl3;;;;
;;;;;;;;;;;;;;;;;;;Rai1;;;;;H2-Q7;;;;
;;;;;;;;;;;;;;;;;;;Ramp1;;;;;Rock2;;;;
;;;;;;;;;;;;;;;;;;;Ramp3;;;;;Bcl2;;;;
;;;;;;;;;;;;;;;;;;;Ranbp3;;;;;Fbxo9;;;;
;;;;;;;;;;;;;;;;;;;Rarg;;;;;Gpd2;;;;
;;;;;;;;;;;;;;;;;;;Rasa3;;;;;Tmod3;;;;
;;;;;;;;;;;;;;;;;;;Rasd1;;;;;Mad4;;;;
;;;;;;;;;;;;;;;;;;;Rasip1;;;;;Usp9x;;;;
;;;;;;;;;;;;;;;;;;;Rasl11b;;;;;Ptov1;;;;
;;;;;;;;;;;;;;;;;;;Rassf1;;;;;Cdc2l2;;;;
;;;;;;;;;;;;;;;;;;;Rbbp6;;;;;Ptpn21;;;;
;;;;;;;;;;;;;;;;;;;Rbbp9;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rbm25;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rbm38;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rbm42;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rbm4b;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rbp1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rbpms;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rcan3;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rcl1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rcn1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Reep6;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rela;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Relb;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Reps1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Retsat;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rfc3;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rfng;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rfxank;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rgl2;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rgs16;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rhob;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rhod;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rin2;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rit1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rnaseh1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rnf103;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rnf123;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rnf138;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rnf145;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rnf19a;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rnf34;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rnf4;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rnf8;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rnft1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rnmtl1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rock2;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rpl10a;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rpl36;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rpl37a;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rpl7;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rpl7l1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rpo1-2;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rpp14;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rprm;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rps10;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rps12;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rps17;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rpusd4;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rrad;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rras;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rreb1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rshl2a;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rsph1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rtkn;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Runx2;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rusc1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rwdd1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Rxrb;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Ryk;;;;;;;;;
;;;;;;;;;;;;;;;;;;;S100a1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;S100a13;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sac3d1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sap30l;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sart3;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sbds;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Scd2;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Scmh1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Scn1b;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Scyl1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sec23a;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sec61g;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Selenbp1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Selk;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Selp;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sema6b;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Senp3;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Serpina3g;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Serpinb6a;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Serpinf1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Serpinf2;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Serping1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Serpinh1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Serpini1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sertad1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sfpi1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sfpq;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sfrp2;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sfrs16;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sfrs3;;;;;;;;;
